题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
ChatGPT与AIGC：迎接智能工具的变革浪潮,李白杨,农业图书情报学报,2023-01-05,期刊,0,0,随着ChatGPT的爆火和AIGC的发展，新一代人工智能技术引发了人们关于数字内容生产方式、行业变革的畅想和讨论，同时也引发了信息资源管理学人拥抱技术变革之外的更多思考。基于此我刊从信息资源管理学科建设和事业发展的高度出发，邀请6位专家开展相关研讨。（1）AIGC与文献情报领域：人工智能技术飞速发展的本质在于数据资源不断丰富和质量提升带来的知识获取能力提升。文献情报领域应充分认识自身价值和作用，积极发挥自身数据资源优势，有效利用知识组织管理专长，主动融入当前AI技术的研发大潮，积极贡献智慧和方案。（2）AIGC的颠覆性变革：ChatGPT的出现为图书情报界带来了颠覆性挑战，学科应积极推进人工智能时代的变革抓住机遇，围绕知识生产、资源发现、知识关联、科研伦理探索新的生长点。发挥我国集约化政策和举国体制优势，推进信息服务向知识服务内容生成服务的转型，释放全社会知识生产力。（3）AIGC与文化遗产资源：ChatGPT开创了模型主导内容生产的时代，同时AIGC对文化遗产资源智慧化加工路径和智慧化服务模式也产生了深远影响。未来我们应在AIGC中赋予人类的公序良俗等普适的价值理性，并积极迎接和推动文化遗产领域的范式变革。（4）AIGC与古籍智能信息处理研究：ChatGPT在推进古籍智能信息处理研究、促进文化传播与文明传承方面发挥积极作用的同时，也带来了文化价值与国家安全、内容安全与信息治理、信息素养与人文教育等方面的挑战。展望未来我们应在提供高质量大规模的典籍精加工数据等方面努力，以构建科学、全面和体系化的信息安全与数字伦理体系。（5）AIGC与智能工具变革：分析AIGC技术发展中大数据、大模型、大算力的三要素，以及数据量的大而全、数据分析的细粒度化、语义关联的多源多模态语义融合、信息服务的人机融合和智能交互的四向发展。指出AIGC将在生产革新、自动生成和生态培育3方面带来内容生产范式变革；同时，也会在技术垄断和霸权、网络信息安全、技术融合等方面带来挑战。（6）AIGC与图书馆：分析ChatGPT模型拓展、数据增强和模型融合的核心技术创新态势基础上，论证了图书馆应用ChatGPT的必要性和危机性。此外，基于智能管理系统、检索系统、推荐系统、问答系统、搜索引擎5方面出发，提出了ChatGPT在图书馆融合和发挥作用的创新方向建议。,AIGC; ChatGPT; 知识组织; 文化遗产; 古籍智能信息处理; 图书馆; 数字伦理;
ChatGPT给图书馆带来什么？,蔡迎春,农业图书情报学报,2023-01-05,期刊,0,0,随着ChatGPT的爆火和AIGC的发展，新一代人工智能技术引发了人们关于数字内容生产方式、行业变革的畅想和讨论，同时也引发了信息资源管理学人拥抱技术变革之外的更多思考。基于此我刊从信息资源管理学科建设和事业发展的高度出发，邀请6位专家开展相关研讨。（1）AIGC与文献情报领域：人工智能技术飞速发展的本质在于数据资源不断丰富和质量提升带来的知识获取能力提升。文献情报领域应充分认识自身价值和作用，积极发挥自身数据资源优势，有效利用知识组织管理专长，主动融入当前AI技术的研发大潮，积极贡献智慧和方案。（2）AIGC的颠覆性变革：ChatGPT的出现为图书情报界带来了颠覆性挑战，学科应积极推进人工智能时代的变革抓住机遇，围绕知识生产、资源发现、知识关联、科研伦理探索新的生长点。发挥我国集约化政策和举国体制优势，推进信息服务向知识服务内容生成服务的转型，释放全社会知识生产力。（3）AIGC与文化遗产资源：ChatGPT开创了模型主导内容生产的时代，同时AIGC对文化遗产资源智慧化加工路径和智慧化服务模式也产生了深远影响。未来我们应在AIGC中赋予人类的公序良俗等普适的价值理性，并积极迎接和推动文化遗产领域的范式变革。（4）AIGC与古籍智能信息处理研究：ChatGPT在推进古籍智能信息处理研究、促进文化传播与文明传承方面发挥积极作用的同时，也带来了文化价值与国家安全、内容安全与信息治理、信息素养与人文教育等方面的挑战。展望未来我们应在提供高质量大规模的典籍精加工数据等方面努力，以构建科学、全面和体系化的信息安全与数字伦理体系。（5）AIGC与智能工具变革：分析AIGC技术发展中大数据、大模型、大算力的三要素，以及数据量的大而全、数据分析的细粒度化、语义关联的多源多模态语义融合、信息服务的人机融合和智能交互的四向发展。指出AIGC将在生产革新、自动生成和生态培育3方面带来内容生产范式变革；同时，也会在技术垄断和霸权、网络信息安全、技术融合等方面带来挑战。（6）AIGC与图书馆：分析ChatGPT模型拓展、数据增强和模型融合的核心技术创新态势基础上，论证了图书馆应用ChatGPT的必要性和危机性。此外，基于智能管理系统、检索系统、推荐系统、问答系统、搜索引擎5方面出发，提出了ChatGPT在图书馆融合和发挥作用的创新方向建议。,AIGC; ChatGPT; 知识组织; 文化遗产; 古籍智能信息处理; 图书馆; 数字伦理;
ChatGPT：太阳底下无新事,徐飞; 汪琛,医学与哲学,2023-01-05,期刊,0,46,<正>1作为一种全新技术变革的ChatGPT2022年11月，OpenAI正式上线ChatGPT(ChatGenerativePretrained Transformer)平台，迅速在全球范围引发广泛热议。作为一类基于大语言模型（Large Languagemodel）的自然语言处理（NaturalLanguage Processing）技术，ChatGPT实现了生成式人工智能（AI Generated Content）的重大创新突破。与此同时，该技术面临的社会争议也与日俱增，美国语言学家艾弗拉姆·乔姆斯基（Avram Chomsky）就认为，ChatGPT基本上是“高科技抄袭”与“一种躲避学习的方式”。,无
在人工智能时代贡献文献情报领域的智慧和方案,张智雄,农业图书情报学报,2023-01-05,期刊,0,0,随着ChatGPT的爆火和AIGC的发展，新一代人工智能技术引发了人们关于数字内容生产方式、行业变革的畅想和讨论，同时也引发了信息资源管理学人拥抱技术变革之外的更多思考。基于此我刊从信息资源管理学科建设和事业发展的高度出发，邀请6位专家开展相关研讨。（1）AIGC与文献情报领域：人工智能技术飞速发展的本质在于数据资源不断丰富和质量提升带来的知识获取能力提升。文献情报领域应充分认识自身价值和作用，积极发挥自身数据资源优势，有效利用知识组织管理专长，主动融入当前AI技术的研发大潮，积极贡献智慧和方案。（2）AIGC的颠覆性变革：ChatGPT的出现为图书情报界带来了颠覆性挑战，学科应积极推进人工智能时代的变革抓住机遇，围绕知识生产、资源发现、知识关联、科研伦理探索新的生长点。发挥我国集约化政策和举国体制优势，推进信息服务向知识服务内容生成服务的转型，释放全社会知识生产力。（3）AIGC与文化遗产资源：ChatGPT开创了模型主导内容生产的时代，同时AIGC对文化遗产资源智慧化加工路径和智慧化服务模式也产生了深远影响。未来我们应在AIGC中赋予人类的公序良俗等普适的价值理性，并积极迎接和推动文化遗产领域的范式变革。（4）AIGC与古籍智能信息处理研究：ChatGPT在推进古籍智能信息处理研究、促进文化传播与文明传承方面发挥积极作用的同时，也带来了文化价值与国家安全、内容安全与信息治理、信息素养与人文教育等方面的挑战。展望未来我们应在提供高质量大规模的典籍精加工数据等方面努力，以构建科学、全面和体系化的信息安全与数字伦理体系。（5）AIGC与智能工具变革：分析AIGC技术发展中大数据、大模型、大算力的三要素，以及数据量的大而全、数据分析的细粒度化、语义关联的多源多模态语义融合、信息服务的人机融合和智能交互的四向发展。指出AIGC将在生产革新、自动生成和生态培育3方面带来内容生产范式变革；同时，也会在技术垄断和霸权、网络信息安全、技术融合等方面带来挑战。（6）AIGC与图书馆：分析ChatGPT模型拓展、数据增强和模型融合的核心技术创新态势基础上，论证了图书馆应用ChatGPT的必要性和危机性。此外，基于智能管理系统、检索系统、推荐系统、问答系统、搜索引擎5方面出发，提出了ChatGPT在图书馆融合和发挥作用的创新方向建议。,AIGC; ChatGPT; 知识组织; 文化遗产; 古籍智能信息处理; 图书馆; 数字伦理;
AIGC与文化遗产资源的智慧化加工及服务,夏翠娟,农业图书情报学报,2023-01-05,期刊,0,0,随着ChatGPT的爆火和AIGC的发展，新一代人工智能技术引发了人们关于数字内容生产方式、行业变革的畅想和讨论，同时也引发了信息资源管理学人拥抱技术变革之外的更多思考。基于此我刊从信息资源管理学科建设和事业发展的高度出发，邀请6位专家开展相关研讨。（1）AIGC与文献情报领域：人工智能技术飞速发展的本质在于数据资源不断丰富和质量提升带来的知识获取能力提升。文献情报领域应充分认识自身价值和作用，积极发挥自身数据资源优势，有效利用知识组织管理专长，主动融入当前AI技术的研发大潮，积极贡献智慧和方案。（2）AIGC的颠覆性变革：ChatGPT的出现为图书情报界带来了颠覆性挑战，学科应积极推进人工智能时代的变革抓住机遇，围绕知识生产、资源发现、知识关联、科研伦理探索新的生长点。发挥我国集约化政策和举国体制优势，推进信息服务向知识服务内容生成服务的转型，释放全社会知识生产力。（3）AIGC与文化遗产资源：ChatGPT开创了模型主导内容生产的时代，同时AIGC对文化遗产资源智慧化加工路径和智慧化服务模式也产生了深远影响。未来我们应在AIGC中赋予人类的公序良俗等普适的价值理性，并积极迎接和推动文化遗产领域的范式变革。（4）AIGC与古籍智能信息处理研究：ChatGPT在推进古籍智能信息处理研究、促进文化传播与文明传承方面发挥积极作用的同时，也带来了文化价值与国家安全、内容安全与信息治理、信息素养与人文教育等方面的挑战。展望未来我们应在提供高质量大规模的典籍精加工数据等方面努力，以构建科学、全面和体系化的信息安全与数字伦理体系。（5）AIGC与智能工具变革：分析AIGC技术发展中大数据、大模型、大算力的三要素，以及数据量的大而全、数据分析的细粒度化、语义关联的多源多模态语义融合、信息服务的人机融合和智能交互的四向发展。指出AIGC将在生产革新、自动生成和生态培育3方面带来内容生产范式变革；同时，也会在技术垄断和霸权、网络信息安全、技术融合等方面带来挑战。（6）AIGC与图书馆：分析ChatGPT模型拓展、数据增强和模型融合的核心技术创新态势基础上，论证了图书馆应用ChatGPT的必要性和危机性。此外，基于智能管理系统、检索系统、推荐系统、问答系统、搜索引擎5方面出发，提出了ChatGPT在图书馆融合和发挥作用的创新方向建议。,AIGC; ChatGPT; 知识组织; 文化遗产; 古籍智能信息处理; 图书馆; 数字伦理;
ChatGPT爆火，人工智能的下一个范式来了吗？,沈湫莎,文汇报,2022-12-20,报纸,1,2235,编写代码、翻译小说、参加考试……2022年末，人工智能聊天机器人ChatGPT刷爆网络。一位互联网从业者“爆料”：现在几乎所有程序员都争先恐后去领略它的超高情商和巨大威力，ChatGPT输出的答案有时幽默、有时深刻，很难分清与他对话的究竟是人还是机器。 ChatGPT由人工智能研......,人工智能; ChatGPT; 机器人; 语言模型;
ChatGPT：一个新时代的到来？,王雅静,中国教育网络,2022-12-15,特色期刊,0,3,<正>2022年11月30日，人工智能研究公司OpenAI的新语言处理模型ChatGPT横空出世，旋即在科技行业掀起波澜。仅发布五天后，OpenAI便估计已有超过100万用户尝试使用了ChatGPT。作为一种先进的自然语言生成模型，ChatGPT经训练后可生成类似人类写就的自然文本，而它也被认为是自然语言处理技术界的游戏规则改变者。,无
最强聊天机器人ChatGPT面世，AI又来抢饭碗了？,可杨; 文巧,每日经济新闻,2022-12-13,报纸,1,1424,近日，OpenAI发布了一个全新的聊天机器人模型ChatGPT，它能够模拟人类的语言行为，与用户进行自然交互。 在推特网友们晒出的截图中，ChatGPT不仅能流畅地与人对话，还能舞文弄墨、编写代码……创作天马行空的内容也不在话下，它几乎无所不能。由于该测试目前免费，一经推出......,聊天机器人; 人工智能; 模型生成; ChatGPT; 语言模型; 虚拟人;
内容不可信与交互成本高，是ChatGPT商业化最大阻碍,可杨,每日经济新闻,2022-12-13,报纸,0,837,从吟诗作赋，到写代码，再到写剧本、做高数，OpenAI发布的免费机器人对话模型ChatGPT回答处理多领域问题的能力之强悍，引发全球关注。 尽管该模型目前仍处于测试阶段，但面世仅一周，便有超过一百万用户使用。“明天ChatGPT就要抢走人类饭碗”的调侃也不绝于耳。 已拥有多......,聊天机器人; 人工智能; 人民币; ChatGPT;
ChatGPT一夜爆火 “超强AI”or泡沫泛起？,秦枭,中国经营报,2022-12-12,报纸,0,794,近期，美国人工智能公司OpenAI发布免费机器人对话模型ChatGPT（GPT-3.5系列），模型中首次采用RLHF（从人类反馈中强化学习）方式。模型目前处于测试阶段，用户与ChatGPT之间的对话互动包括普通聊天、信息咨询、撰写诗词作文、修改代码等。功能如此“全面”的ChatGPT被称作“......,泡沫化; 人工智能; GPT; 语言模型; 生态位置; 文字交流; 病毒性感冒; ChatGPT;
爆火出圈的ChatGPT和它背后的万亿商业化狂想,董静怡,21世纪经济报道,2022-12-12,报纸,0,962,人工智能“技术奇点”越来越近了。 近日，聊天机器人模型ChatGPT风靡全网。凭借背后强大的技术，ChatGPT可以完成流畅对答、写剧本、写代码等各项功能，目前全球已经积累超过百万的用户。它甚至可以创作诗歌和笑话，这是一种之前被认为只属于人类的能力。 OpenAI的联合创始......,短视频; ChatGPT; 初创公司; 李彦宏; 创作者; 著作权法; 人工智能;
ChatGPT火出圈!更需警惕投资盲目跟风,吕倩; 刘晓洁; 樊雪寒,第一财经日报,2022-12-08,报纸,0,825,一夕之间，ChatGPT突然火了。 所谓ChatGPT，是在今年11月30日，由人工智能实验室OpenAI上线的新模型，其网页应用允许用户免费使用，目前用户与ChatGPT之间的对话互动包括了普通聊天、信息咨询、撰写诗词作文、修改代码等，甚至令用户产生ChatGPT能否取代谷歌等搜索引擎的疑......,投资盲目; ChatGPT;
GPT类技术应用开启智能信息处理之颠覆性变革 网络首发,王静静; 叶鹰; 王婉茹,图书馆杂志,2023-04-04 09:21,期刊,0,386,本文在浅析GPT类技术影响智能信息处理的主要方式基础上，提示多模态大模型正在给智能信息处理带来颠覆性变革，主要体现在大模型、多模态、跨语言等方面。文本生成、智能对话、机器翻译等波及智能信息处理的颠覆性应用将对信息处理的自动分析、提取、生成和决策带来巨大的效率提升，从而带来智能信息处理的颠覆性变革。目前，这一革命浪潮正以不可阻挡之势席卷而来，学界和业界须高度关注并积极应对GPT类技术应用开启的智能信息处理革命。,ChatGPT; 智能信息处理; GPT; 大语言模型; 多模态;
从猿到人：探索知识服务的凤凰涅槃之路 网络首发,张晓林,数据分析与知识发现,2023-03-27 11:01,期刊,0,497,<正> ChatGPT的横空出世，给所有以数据和信息为原料、以“知识”为产出的行业带来了如埃隆·马斯克所说的“存在主义焦虑”（Existential Angst）。而且，ChatGPT的持续迭代正以迅雷不及掩耳之势扑面而来，例如跨模态能力的GPT-4、ChatGPT和Whisper API接口开放、微软推出GPT-4 Office全家桶全面提升办公生产力等等。许多专家分析总结了ChatGPT的技术及其发展趋势，作为知识服务的实践者，我更希望了解ChatGPT革命对知识服务带来的挑战和可能的应对，因此提出个人见解抛砖引玉。,无
人工智能通用大模型教育应用影响探析,吴砥; 李环; 陈旭,开放教育研究,2023-03-22,期刊,0,1282,人工智能对教育的影响经历了从利用机器学习优化教育，实现“能存会算”的自动化，到利用深度学习赋能教育，实现“能看会听”的感知化，再到利用通用大模型创新教育，实现“能理解会创作”的认知化。人工智能通用大模型加持下的教育生态，其应用模式将从专用走向通用，应用流程从分发走向生成，应用场景从单一走向多元。通用大模型的兴起及其在教育行业的快速渗透，将引发人才培养目标的转变及教育教学形态更替，并可能加剧伦理安全风险。人工智能与教育的融合发展要坚持以人为本，注重学生高阶思维培育，健全相应的伦理规范体系。,人工智能; 通用大模型; ChatGPT; 教育数字化转型;
人工智能新近发展及其对经济学研究范式的影响,洪永淼; 汪寿阳,中国科学院院刊,2023-03-20,期刊,0,497,以ChatGPT及其大语言模型为代表的人工智能将对经济学研究范式产生深远影响。目前，经济学实证研究一般使用参数维数较少、经济可解释性较强的小模型。然而，经济金融系统是一个超高维动态复杂系统，受多种因素的影响，且这些因素之间的关系呈现非线性与时变性特征，小模型无法刻画其本质规律。大模型可有效减少系统偏差，更好刻画复杂经济系统的特征与运行规律；而海量数据的使用可避免模型过度拟合，使大模型具有较好的泛化能力即样本外预测能力。为支持经济学及社会科学其他领域的大模型的估计、推断与预测，需要利用人工智能技术整合各种异构、异源、异频数据，构建大规模计量经济学数据库，并加强大算力等信息技术基础设施建设。目前，ChatGPT及大模型等前沿人工智能技术仍存在局限性，如：无法像人类一样进行批判性思考或想象，只有预测能力；基于大数据的人工智能因果推断本质上是一种统计关系推断，需要引入经济理论或实验方法帮助识别真正的因果关系；人工智能技术不能改变经济学实证研究从样本推断总体性质的本质；同时，由于互联网大数据存在大量虚假信息或样本选择偏差等问题，基于人工智能所获得的结论的可靠性需要验证。,人工智能; ChatGPT; 大模型; 维数灾难; 因果推断;
智能交往，未来已来——“激荡AIGC”数字交往八人谈观点综述,江潞潞,传媒观察,2023-03-15,期刊,0,715,以ChatGPT为代表的智能机器人定义了AI发展的新里程碑。AIGC（人工智能生产内容）有望塑造内容生产的新范式，成为智能数字交往的基础设施。在《传媒观察》与知名学术社团数字交往小组联合主办的“激荡AIGC”主题对谈中，彭兰、邓建国、王成军、胡泳、张子柯、杜骏飞、曹轲、邹军八位新闻传播学学者分别以“ChatGPT与人机交流的未来”、“AIGC：搬运还是创新”、“AI时代的计算叙事”、“ChatGPT作为文化现象”、“AGI个性化与用户自我化问题”、“AIGC与数字平等”、“AIGC与AI新闻时代”以及“AIGC与数据治理”为题进行内容分享，并就“对AIGC应秉持怎样的预判”、“AIGC对媒介实践和新闻生产的影响”以及“AIGC时代人类世界认知的变化”等议题展开了一场雄辩争锋、思想和鸣的学术对谈。本文梳理了此次对谈中八位学者的代表性观点。,AIGC; ChatGPT; 智能交往; 媒介技术; 学术对谈;
智能技术的发展禀赋——记第60次情报科学读书会,王忠军; 于伟; 唐星龙,情报理论与实践,2023-03-15,期刊,0,341,<正>2023年2月24日，第60次情报科学读书会在北方科技信息研究所举办。来自北京大学、中国科学院、军事科学院、中国科学技术信息研究所、北京市科学技术研究院等多家单位的专家学者围绕“智能技术的发展禀赋”进行交流讨论，《情报理论与实践》主编王忠军主持了本次活动。王继民读友以《Chat GPT原理、应用及未来展望》为题做了专题报告，提出在从决策式人工智能到生成式人工智能的跨越性发展中，,无
通过主动式治理框架规避人工智能发展的潜在风险,王璐,金融时报,2023-03-13,报纸,0,131,2月24日上午，科技部部长王志刚在国新办新闻发布会上谈及热门话题ChatGPT时表示，ChatGPT形成了一种现象级的应用，表现出很高的人机理解交互水平，也表现出自然语言的大模型已具备面向通用人工智能的一些特征，在众多行业领域有着广泛的应用潜力。他强调，在推动发展的同时，......,人工智能; 主动式; 治理框架; 潜在风险;
生成式人工智能与人类未来生存境遇,蓝江,中国社会科学报,2023-03-07,报纸,0,322,近期，以ChatGPT为代表的生成式人工智能，在全球范围内再次掀起了人工智能讨论的热潮。与以往的人工智能讨论不同，这次ChatGPT等应用让每一个拥有智能设备的用户都可以接触到人工智能发展带来的震撼。与之前科幻式和未来学式的人工智能遐想不同，这次的生成式人工智能带来的......,人工智能; 语料库; 数据库; 神经网络; 机器学习; 生成式; 生存境遇; 人类未来;
人机融合智能：一条通向未知的艰险征途,杨溟,中国社会科学报,2023-03-06,报纸,0,81,有人说，新技术的迭代周期已经是一年一届。从2021年10月扎克伯格将公司改名为Meta宣布进入元宇宙元年，仅仅一年，全世界跟风掀起的All in元宇宙热浪似乎已被ChatGPT浇灭。 ChatGPT是什么 简单说，ChatGPT是一种专注于对话生成的大型语言模型。它被比喻为“搜索+社交”的智......,人工智能; 聊天机器人;
“大厂”发力“抢票”登车,徐晶卉,文汇报,2023-02-26,报纸,0,20,ChatGPT一夜爆红，国内科技企业闻风而动。有一种观点认为，ChatGPT将掀起一场近在眼前的技术革命，是一种“跨越性的发展”，让国内的技术能力相形见绌；也有一种观点认为，不必过分高估ChatGPT的能力，它所拥有的底层技术，中国的科技公司都有相应的积累 过去一个月，全球科......,参数量; 人工智能; 自然语言处理; 相关产品; 底层技术; 阿里巴巴; 思维链; 聊天机器人;
