题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
三大指数继续震荡 东数西算概念逆势走强,孙越,上海证券报,2023-02-25,报纸,0,20,周五，沪深两市全天震荡调整。截至收盘，上证综指报3267.16点，下跌0.62%；深证成指报11787.45点，下跌0.81%；创业板指报2428.94点，下跌1.16%。沪深两市合计成交额为7258亿元，较上一交易日减少815亿元。 盘面上，以大金融、地产板块为代表的权重股表现疲弱，新能源概念走......,国泰君安;
美亚柏科：已在网安领域布局人工智能算法,李兴然,股市动态分析,2023-02-25,期刊,0,108,<正>近期，美亚柏科（300188）接受了80多位投资者的调研，就ChatGPT及公司的相关布局、业务等进行了友好交流。有关ChatGPT应投资者提问，美亚柏科高管结合安全的角度，分析了ChatGPT主要存的问题。美亚柏科表示，ChatGPT的核心是自然语言的大规模预训练模型，由OpenAI实验室推出，是在自然语言预训练的基础上，加入了智能问答以及人机交互相关的能力，形成了现在大家看到的自动聊天机器人。,无
拥抱未来才能赢得未来,张轶博,中国邮政报,2023-02-25,报纸,0,13,ChatGPT的出现意味着人工智能正式步入一个全新的发展阶段。在日常生活中，各种智能产品早已无处不在，如手机、汽车、家居，无不体现着人工智能为我们带来的方便与快捷。 调查问卷中，80%的参与者表示自己与人工智能密不可分。问及在工作和生活中接触过最多的人工智能，答案......,人工智能;
网易去年净利润同比增长28.3% 研发投入超150亿元,袁传玺,证券日报,2023-02-24,报纸,0,86,2月23日晚间，网易公布2022年全年业绩报告，公司去年实现总营收965亿元，同比增长10.2%；非公认会计准则下，归属于公司股东的持续经营净利润228亿元，同比增长28.3%。其中，2022年第四季度营收为254亿元，同比增长4%；非公认会计准则下，归属于公司股东的持续经营净利润48亿......,净利润; 同比增长; 研发投入;
近300家企业成文心一言首批生态合作伙伴 AIGC竞争白热化 百度胜算几何？,袁传玺,证券日报,2023-02-21,报纸,0,107,近期，备受市场关注的百度类ChatGPT产品文心一言（英文名：ERNIE Bot）陆续披露了首批生态合作伙伴。据悉，该项目由百度CTO王海峰任总指挥，已经进入“3月份完成内测”倒计时阶段。 2月17日，《证券日报》青年理论学习小组走进百度总部，在百度品牌展厅中，参观了百度鸿鹄语......,智能云; 爱奇艺; 合作伙伴;
人工智能蓝海中国赛道谨防“削足适履”,何晓曦,国际商报,2023-02-20,报纸,0,16,最近，美国openAI公司研发的聊天机器人程序ChatGPT在网络走红，各大媒体和网络平台争相追捧。ChatGPT是人工智能技术驱动的自然语言处理工具，它能够通过学习和理解人类的语言来进行对话，还能根据聊天的上下文进行互动，网友甚至媒体纷纷“采访”它，体验一种新鲜感，国外的......,人工智能; 自然语言处理;
当智能养老款款而来,刘鹏程,中国社会工作,2023-02-15,期刊,0,20,<正>近日，智能聊天工具ChatGPT火爆网络。在网友们晒出的应用场景中，ChatGPT不仅能流畅地与用户对话，甚至能写诗、撰文、编码……专家预言，这类人工智能技术的推广应用，可能为商业和民生领域带来巨大的机遇，也有人惊呼“很多行业将在不远的未来被它所取代”。养老服务事关亿万老年人和家庭，智能养老越来越被寄予厚望。当ChatGPT为代表的智能化工具和服务持续更新迭代，养老服务领域将会出现哪些变化，哪些变革值得期待？这些都值得全行业深入研究思考。,无
AI学习者王慧文,杨清清,21世纪经济报道,2023-02-15,报纸,0,33,“太忙了现在。” 2月13日上午11时许，当21世纪经济报道记者拨通王慧文的电话时，这位近日持续搅动AI圈的前美团点评联合创始人，在电波那头直言道。 两个小时前，王慧文在社交平台上披露了自己的AI创业细节。对于此刻的他而言，现在的每一秒都是宝贵的。从许多细节亦可以看......,技术驱动; 朋友圈; 研发人才; 学习者;
北京人工智能产业“头雁”高飞,曹政,北京日报,2023-02-14,报纸,0,24,人工智能企业总量全国第一、核心区域产业集聚能力全国第一、人工智能论文发表量居全国第一、人工智能算力发展排名全国第一、工信部“揭榜挂帅”优胜项目的数量居全国第一……这些都是北京在人工智能领域发展的成绩。 昨天举行的北京人工智能产业创新发展大会上，市经信局正......,人工智能; 先导区; 人工智能领域;
开启AI即服务新赛道,胡媛,通信产业报,2023-02-13,报纸,0,17,"ChatGPT开启的AI即服务新赛道,如何着力?就ChatGPT相关话题,《通信产业报》全媒体邀请工体元宇宙GTVerse创始人CEO、首席架构师葛颀,解构ChatGPT本质。 2021年5月,OpenAI发布的GPT-3,不仅可以答题、翻译、写文章,还带有数学计算的能力,掀起了第三波数字化转型的浪潮。工体元宇......",GPT; 首席架构师;
如何识别内容生产者是AI还是人类？,孙小程; 罗茂林,上海证券报,2023-02-11,报纸,0,118,迅猛发展的ChatGPT有了新的讨论落点——如何识别内容生产者是AI还是人类？ 在极度重视生产者主体性、原创性的领域面前，ChatGPT已经可以做到“以假乱真”。这意味着AI生产的内容很可能进入一些本不应该进入的领域，比如各类考试、论文之中。 在这种担忧与警惕的声音之下，......,金运激光; 生产者; 数字水印技术;
应对“剽窃行为更难被发现”，需立法跟进,陈怡,上海科技报,2023-02-10,报纸,0,80,一方面，ChatGPT因为能够和人进行对话、互动，完成撰写邮件、视频脚本、文案、翻译、代码等任务，甚至生产出足以瞒过教授的论文而备受追捧；另一方面，围绕它应用的争议也由之而起。某种意义上，这种对原本只有人类智慧才能够完成的工作“越俎代庖”的能力，在引发可能加速AI......,剽窃行为; 《达·芬奇密码》; 乔姆斯基; 丹·布朗;
人工智能时代，人依然是主宰,赵志疆,河南日报,2023-02-10,报纸,0,159,ChatGPT一鸣惊人，谷歌市值一泻千里。日前，谷歌公司演示其人工智能聊天机器人“巴德”的新功能，但在回答问题时尴尬出错，引发了外界对巴德准确性的担忧，拖累谷歌股价大跌逾7%，市值蒸发约1056亿美元（约7172.78亿元人民币）。 目前看来，谷歌将ChatGPT视为“A类竞争对手......,人工智能; 绘画工具;
市政协委员谭画：大力发展人工智能产业 助力东莞高质量发展,梁盘生,东莞日报,2023-02-09,报纸,0,31,关键词：人工智能 本报讯 最近，ChatGPT火出了圈，成为许多网友热议的焦点。今年两会，市政协委员谭画在提案中也提到了ChatGPT，她建议东莞大力发展人工智能产业，为推动高质量发展提供有力的技术支撑。 ChatGPT是美国人工智能研究实验室OpenAI开发的一种全新聊天机器人模......,人工智能; 高质量; 政协委员;
生成式AI进入应用爆发期 从“玩具”到“工具”尚需时日,吴双,人民邮电,2023-02-09,报纸,0,122,大规模预训练语言模型ChatGPT 一经发布便成为新晋网红，它能够以对话的方式与使用者进行交互，高质量的内容回复、上瘾的交互体验，不仅吸引全网用户探索ChatGPT的应用场景，也让AI技术发展以及在各行业领域的创新应用备受关注。 多样化产品竞相涌现 谈到AI领域的未来发展，......,生成式; 人工智能; 语言模型; 文字描述; 文本内容;
AIGC概念股狂飙，“汉王科技们”接连涨停,闫晓寒; 卢晓,华夏时报,2023-02-06,报纸,0,41,"作为AIGC(人工智能自动生成内容)的一个分支,“ChatGPT概念”从2022年底火到了2023年。2月1日,ChatGPT概念继续爆发,截至当日收盘,汉王科技、赛为智能、初灵信息等多股涨停,其中,赛为智能和汉王科技已实现三连板。而在截至2月1日的最近三个交易日内,科大讯飞涨幅超13%、云从科......",汉王科技; 人工智能; 概念股; 自然语言处理; 电纸书; 净亏损;
审稿人或难识别AI撰写的论文摘要,张梦然,科技日报,2023-01-17,报纸,0,366,科技日报北京1月16日电 （记者张梦然）据近日发表在预印本服务器bioRxiv上的一项研究，人工智能（AI）聊天机器人ChatGPT已可写出令人信服的假研究论文摘要，甚至连审稿科学家也无法发现。 聊天机器人ChatGPT会根据用户提示创建逼真文本，它通过消化大量现有的人类生成文本来......,论文摘要; 审稿人; 机器人;
AI突遭“围剿” 概念股走势分化,邱清月,深圳商报,2023-04-07,报纸,0,0,【深圳商报讯】（记者 邱清月）年初以来，A股人工智能板块备受市场追捧。然而，近期来自各方呼吁停止研发AI的声音变得越来越响亮。4月6日，A股人工智能概念股走势出现分化，海天瑞声跌13.37%，汤姆猫跌11.7%，拓尔思、鸿博股份、中文在线等个股跟跌；新开普涨停，山大地纬、......,概念股; 人工智能;
昙花一现还是技术革命？——生成式人工智能的多维审视,李佳咪,新闻与写作,2023-04-05,期刊,0,0,<正>从2022年年末到2023年年初，AI作画领域的DALL-E 2、Stable Diffusion等AI模型，以及人工智能聊天机器人ChatGPT给人们带来了巨大的震撼。尤其是ChatGPT能根据聊天的上下文与人类进行互动，还能撰写邮件、文案、论文和代码等等，在全球范围内持续掀起讨论热潮。AIGC在内容生产和语言交互方面所展现的强大能力让我们感到，人工智能的表达和思考越来越像人了。,无
AI大模型竞赛 谷歌、微软谁将胜出？,曲忠芳;李正豪,中国经营报,2023-04-03,报纸,0,31,曾以“挑战者”身份、以独创的PageRank网页排序算法起家的谷歌，在“霸占”全球搜索引擎市场“头把交椅”近20年后，终于迎来了有力的“挑战者”——由OpenAI推出的聊天机器人ChatGPT，正在引领人机交互的新一轮变革，搜索引擎则首当其冲。 《中国经营报》记者综合多家第三方......,搜索引擎市场;
人形机器人开启新一轮“智能进化”,宋婧,中国电子报,2023-03-31,报纸,0,0,开栏的话：先进计算是基于在计算理论、架构、算法、产品、系统、应用等层面的持续演进，服务于数字化和数字经济高质量发展，形成的更高算力、更高能效、更为多样、更趋灵活的战略性技术及产业体系，代表了计算技术、计算产业、计算应用的演进方向。当前，先进计算迎来跨越赶......,人形机器人; 进化方向; GPT; 机器人本体; 智能进化; 新一轮;
促进全民共享数据红利，推动数字经济可持续发展,宋美璐,每日经济新闻,2023-03-28,报纸,0,29,2022年4月，知乎（HK02390，股价18.92港元，市值60.5亿港元）回到港交所上市。8月，知乎创始人、CEO周源在站内信中确定执行“生态第一”的战略。 最近一年里，公司好消息不少。2022年7月，“社区月均付费会员数突破了1000万。这标志着公司商业化进入了新的里程碑”。前不久......,NBD; 问答社区; 创作者; 职业教育; 经济可持续发展; 多模态; 全民共享;
AI向东，算力向西,范昕茹,IT时报,2023-03-24,报纸,0,15,如果说去年的互联网热词是元宇宙，那么今年的科技热词一定是GPT。 作为科技圈的新宠，ChatGPT一经推出，两个月内便吸引了1亿用户注册，成为用户增长最快的应用。GPT-4接入Office之后的一系列演示，更是让人见识到AI大模型的威力。ChatGPT的成功，也让AI大模型成为新的资本追......,网络时延; 跨平台; 需求方; 调度系统; GPT; 计算需求; 产业链; 服务商;
拥抱人工智能新商业时代,朱克力,企业家,2023-03-15,特色期刊,0,3,<正>继2022年11月OpenAI发布一款名为ChatGPT的人工智能聊天机器人后，近日又公布了最新版本GPT-4，并开放了接口。国外，谷歌、微软的ChatGPT版搜索引擎战打得正火热；国内企业不甘落后，百度、阿里、腾讯、字节跳动、科大讯飞等纷纷入局，3月16日，百度正式发布“文心一言”，引起社会强烈反响，互联网企业都准备挽起袖子大干一场。,无
脑机协作，成为“未来智能人”——访大数据专家涂子沛,姚咏梅,企业家,2023-03-15,特色期刊,0,6,<正>近期ChatGPT火出了圈，涂子沛作为大数据专家、科技作家，在第一时间对ChatGPT等人工智能提出了自己的观点。《企业家》杂志记者就如何将ChatGPT等人工智能技术与人脑进行协同等问题对涂子沛先生进行了访谈。会写作的行业大脑《企业家》：您怎么看ChatGPT？相信它的出现将带来一场深刻的生产力变革，企业或企业家应该怎么正确理解和运用这项新技术？,无
人工智能热潮下求解技术革“新”产业“智”变,郭倩; 袁小康,经济参考报,2023-03-09,报纸,0,73,近期ChatGPT引发高度关注，与之相关的人工智能也成为全国两会期间的热议话题。ChatGPT会带来什么样的变革？如何进一步加快关键技术创新？如何看待人工智能的应用前景？代表委员和业内人士纷纷发表见解。 强创新 抓住前沿技术发展“时间窗口” 近期，人工智能研究公司OpenA......,人工智能; 人工智能领域; 求解技术;
人工智能赋能数字经济产业创新发展,邱若蓉; 陈相成,惠州日报,2023-02-28,报纸,0,160,人物名片 陈俊龙，华南理工大学计算机科学与工程学院院长、清华大学海外杰出教授、中国自动化学会副理事长、欧洲科学院院士、欧洲科学与艺术院院士。在控制论、智能系统与控制、计算智能、数据科学等方面有着杰出的贡献，在国际重要学术刊物上发表论文600多篇，荣获美国电气......,人工智能;
求新应变，静候“一言”,周泽中,湖南日报,2023-02-23,报纸,0,52,2月21日，湖南日报社宣布接入百度“文心一言”，成为首批生态合作伙伴。此前，湖南广电短视频平台“风芒”、红网时刻新闻已接入，至此，湖南主流媒体“御三家”全部“官宣”。 近段时间，ChatGPT是绝对“热点”，不论是写代码、作诗歌，还是灌“鸡汤”，它的“人性化”超出......,一言; 文心;
大模型成为人工智能新赛道,刘艳; 何沛苁,科技日报,2023-02-21,报纸,0,140,火爆全球的ChatGPT让大模型技术进入更多人视野，国内大模型厂商的实力能否支撑起类ChatGPT应用？国际权威咨询机构IDC近日发布的《2022中国大模型发展白皮书》（以下简称《白皮书》），成为一窥国内大模型产业的参考。 作为一个对话式机器人，ChatGPT“上知天文、下知地理”......,大模型; 人工智能; IDC; 白皮书;
我国有什么强项和短板,俞陶然,解放日报,2023-02-20,报纸,0,36,ChatGPT是第四次工业革命的一个标志性成果 本报讯（记者 俞陶然）科创中国数字经济技术创新峰会日前在沪举行。中国科学院院士褚君浩、中国工程院院士蒋昌俊等信息技术和半导体专家在演讲中都提到了第四次工业革命，认为以智能化为特征的这场革命已经发生，最近很火的ChatGPT......,第四次工业革命; 人工智能; 应用端; 机器人; 智能化系统;
AIGC新赛道厦企如何出圈？,林露虹,厦门日报,2023-02-16,报纸,0,68,AIGC是什么？ AIGC指利用人工智能技术来生成内容，按照模态来划分，AIGC包括文本生成、音频生成、图像生成、视频生成及图像、视频、文本间的跨模态生成等。 ChatGPT其实就是AIGC的应用场景之一。有人将ChatGPT概括为“聊天机器人+知识检索+文本生成工具”。它不仅能与人类......,人工智能技术; 机器人; 内容创作; 创作者;
卷首语,赵云龙,艺术研究,2023-02-15,期刊,0,18,"<正>走过疫情和冲突的2022,我们迎来了充满期冀的2023。涓涓不塞是为江河,源源不断是为奋斗。新的一年,本刊将持续开展系列学术选题,推广主题性艺术创作的重要作品和区域性艺术创作的代表性成果,探索其中蕴含的文化、历史、时代等方面的内涵和意义。推动艺术创作与新时代新技术的融合发展,关注艺术创作的当代价值。同时,我们也将特别关注理论滞后、学术思考缺位等问题,深入探究其产生的原因,通过高质量的学术文章和理论成果促进艺术理论的发展和完善。2023是充满挑战的一年,AI绘画的不断成熟和ChatGPT的问世,",无
人物,,中国经济周刊,2023-02-15,期刊,0,46,<正>2023.2.1—2023.2.15鲍威尔：美联储需进一步加息，预计今年通胀大幅下降当地时间2月7日，美国联邦储备委员会主席鲍威尔表示，鉴于劳工部最新就业报告显示出劳动力市场的强劲与韧性，美联储接下来需要进一步加息以抑制通货膨胀，终端利率可能会达到高于先前预期的水平。,无
谁能在AI时代成为艺术家,,艺术与设计,2023-02-14,特色期刊,0,2,"<正>近日,人工智能(AI)领域近期动作频频。特别是以OpenAI公司的ChatGPT为代表的生成型AI面市以来,不仅引发各界关注,也在资本市场上掀起了又一轮“AI行情”。美国《华尔街日报》网站1月9日发表题为《人工智能会让创造性工作者变得多余吗?》的文章,里面提到了ChatGPT让一些人质疑人工智能(Al)是否会让人类的创造力变得多余。该聊天机器人程序于去年11月由开放人工智能研究中心发布,能够比大多数人更好地针对自然语言提示快速编写出可读性很强的文章。鉴于有十几个AI艺术生成器已经可以创建几乎任何图像,即使是视觉艺术家们也很担忧。",无
Meta跌落元宇宙,方彬楠; 赵天舒,北京商报,2023-02-14,报纸,0,38,继去年11月裁员1.1万人后，Meta正计划进行新一轮裁员。从改名之时的雄心勃勃到现在的一落千丈，与CEO扎克伯格钟情元宇宙似乎脱不了干系。眼下，其他硅谷互联网巨头斥巨资加入AI热潮，Meta的ChatGPT探索之路却又受到阻碍。困境中的扎克伯格，又该如何应对“虚拟”与“现实”的......,广告业务;
为生成式AI这匹“黑马”套上“缰绳”,李诏宇,科技日报,2023-02-14,报纸,0,197,一方面，生成式AI固然便利了生产、生活，带动了社会的进步；另一方面，生成式AI可能会被人们无意滥用，甚至被目的不纯之人恶意利用，对社会造成危害。 ——闫怀志 北京理工大学网络与安全研究所所长 谈到AI领域的未来发展，就不得不提到生成式AI。如今，一经推出就迅速在各......,生成式; 检测器; 人工智能;
美国科技巨头业绩集体变脸 AI对话和元宇宙成脱困良方？,曲忠芳; 李正豪,中国经营报,2023-02-13,报纸,0,59,近日来，包括苹果（NASDAQ：AAPL）、微软（NASDAQ：MSFT）、谷歌母公司Alphabet（NASDAQ：GOOGL）、亚马逊（NASDAQ：AMZN）、脸书母公司Meta（NAS-DAQ：META）在内的美股科技巨头密集公布财报。在市场变化、经济下行、通胀高企等多重因素作用下，科技巨头的新财报普遍“不好......,净利润; NASDAQ; 业绩压力;
积极做好迎接人工智能的各项准备,,第一财经日报,2023-02-09,报纸,0,57,某种未来正以一种大家意料之中却突如其来的方式被打开。 最近ChatGPT火爆全球，市场投资者为其下注真金白银，全球上亿用户竞相晒出与其聊天的记录。最新消息则是微软宣布，将利用OpenAI技术升级Bing搜索和浏览器。稍早前谷歌宣布将推出实验性对话式人工智能服务Bard，百度表......,人工智能; 量子计算;
聊天机器人会带来哪些改变,王潇雨,健康报,2023-02-08,报纸,0,152,最近，聊天机器人ChatGPT火了。作为一种新形式的人工智能工具，它不仅能够较为流畅地与人类对话，甚至还能吟诗作对、撰写论文和报告、编写代码等。“这个工具太省事了。”“它会不会取代我的工作？”……一时间，有的人对此技术感到既兴奋又惊慌。而就医疗健康行业来说，这样......,人工智能技术; 语言模型; 聊天机器人; 数据集; 阿尔茨海默病;
美科技巨头纷纷加码人工智能,甄翔,环球时报,2023-02-07,报纸,0,74,随着美国科技初创公司OpenAI旗下智能聊天工具ChatGPT的大火，近期，美国科技巨头频频在人工智能领域出手，2023年各巨头或将在人工智能领域掀起新一轮鏖战。 自2019年早早布局OpenAI后，今年1月，微软宣布扩大同OpenAI的合作，业界有消息称，微软将再次向OpenAI投资100亿美元......,人工智能; 人工智能领域; 初创公司;
爆款叠出 人工智能竞争在加速,倪浩; 王鹏杰; 甄翔,环球时报,2023-02-01,报纸,0,160,更通人性地与用户聊天，为程序员编程并修改BUG，按照要求写一首诗歌……人工智能机器人ChatGPT的横空出世，将人工智能发展推向一个新高度，引发全球各路资本与科技巨擘纷纷将目光投向这一赛道。1月30日，A股兔年首个交易日，人工智能板块强势崛起，全天共有15只个股涨停。1月......,人工智能; 机器人; 智能化系统;
机器人“撰写”摘要骗过科学家,李木子,中国科学报,2023-01-17,报纸,0,344,本报讯 生物预印本服务器bioRxiv日前发布的一项研究显示，人工智能（AI）聊天机器人可以写出科学家通常无法辨别真假的虚假研究论文摘要。 “我很担心。”英国牛津大学科学家、并未参与此项研究的Sandra Wachter说，“如果专家无法判断真假，我们就失去了指导我们解决复杂问......,聊天机器人; 语言模型;
