题名,作者,来源,发表时间,数据库,被引,下载,摘要,关键词
16000亿 谷歌发布人类历史首个万亿级人工智能模型,,智能建筑与智慧城市,2021-02-25,期刊,0,185,"<正>近日,Google Brain的研究人员提出了稀疏激活专家模型Switch Transformer。研究人员表示,这个1.6万亿参数模型是迄今为止发布的第一个万亿级人工智能模型,其速度是Google之前开发的最大语言模型(T5-XXL)的4倍,参数规模几乎是1750亿参数的GPT-3的十倍。",无
大数据基础理论与系统关键技术浅析,华强胜;郑志高;胡振宇;钟芷漫;林昌富,数据与计算发展前沿,2019-10-15,期刊,2,180,"【目的】本文主要就大数据基础理论及系统相关研究背景、技术架构和关键技术展开介绍,并结合技术发展趋势提出未来研究和技术发展方向。【方法】本文在简要介绍大数据处理基础理论的基础上,从面向数据并行的大数据处理技术、RDF (Resource DescriptionFramework)图数据的查询与匹配、大数据分析技术三个方面简要介绍了大数据系统的关键技术。【结果】未来数据产生的速度将进一步提高,在这种应用背景下,如何在设备端进行快速的数据处理成为一种趋势。【结论】未来,我们将在继续关注大数据基础理论与系统关键技术的基础上,引入边缘计算、雾计算等场景,研究物联网环境下的大数据处理。",低复杂度算法; 数据并行; QoS机制技术; 图数据处理; 语言模型;
语音识别技术的研究进展与展望,王海坤; 潘嘉; 刘聪,电信科学,2018-02-20,期刊,166,3989,"自动语音识别(ASR)技术的目的是让机器能够""听懂""人类的语音,将人类语音信息转化为可读的文字信息,是实现人机交互的关键技术,也是长期以来的研究热点。最近几年,随着深度神经网络的应用,加上海量大数据的使用和云计算的普及,语音识别取得了突飞猛进的进展,在多个行业突破了实用化的门槛,越来越多的语音技术产品进入了人们的日常生活,包括苹果的Siri、亚马逊的Alexa、讯飞语音输入法、叮咚智能音箱等都是其中的典型代表。对语音识别技术的发展情况、最近几年的关键突破性技术进行了介绍,并对语音识别技术的发展趋势做了展望。",自动语音识别; 深度神经网络; 声学模型; 语言模型;
语料资源缺乏的连续语音识别方法的研究,伊·达瓦; 匂坂芳典; 中村哲,自动化学报,2010-04-15,期刊,18,291,"由于少数民族语言有其本身的特点,不能简单地套用现有的连续语音识别的方法.本文以蒙古语为例,研讨了声学和语言模型的建立,并在日本国际电气通信基础技术研究所的连续语音识别器上实现了蒙古语的语音识别系统.本文侧重于语言模型的建立,基于蒙古语黏着性语言特点,提出用相似词聚类方法建立多类N-gram模型.实验结果显示,应用我们提出的语言模型,识别精度比用传统的词的N-gram识别法提高了5.5%.",蒙古语; 黏着语言; 相似词分类; 连续语语音识别; 多类语言模型;
维吾尔语连续语音识别技术研究,冯丽娟; 吾守尔·斯拉木,现代计算机(专业版),2010-01-25,期刊,7,239,"维吾尔语连续语音识别技术研究主要阐述维吾尔语连续语音的识别技术,主要包括声学模型和语言模型。在声学模型中,主要介绍基于隐马尔可夫模型(Hidden Markov Model,HMM)的维吾尔语连续语音识别声学建模。在语言模型中,主要对比基于文法和基于统计这两种方法的优劣。",维吾尔语连续语音识别; 声学模型; 语言模型; 隐马尔可夫(HMM);
维吾尔语连续语音识别系统中语言模型的研究,陈晶,新疆大学,2009-05-20,硕士,4,285,"本文的主旨是研究语言模型在维吾尔语连续语音识别系统中的应用技术。 目前语音识别中声学模型的研究已相对成熟,但声学模型描述和处理语音信号的能力有限,还有许多能用于语音识别的非声学信息,如句法、语义、语境等没有善加利用,因此,声学模型的研究对语音识别的进一步发展已经没有太大的帮助。而语音识别系统中语言模型研究尚有许多可改善之处,人们对语言模型的研究兴趣也日益浓厚。诸多前人实验表明,语言模型的优化改进对识别率的提升有重大影响。因此本文选择语言建模技术作为研究方向,并专门就语言模型在维吾尔语大词汇量连续语音识别系统中的应用方面做了探索和实验。 本文主要做工作如下: (1)结合维吾尔语特点,提出了一种新的基于混淆集的文本语料筛选方案。根据前人的识别结果,统计出容易包含在插入错误,删除错误,替换错误中的音素,根据这些训练不充分的音素重新寻找合适的词句补充进语料库。 (2)利用CMUCamToolkit工具对语料进行处理,选出词频在10次以上的5500个高频词条形成词典,训练生成trigram统计语言模型。 (3)比较了四种平滑方法对困惑度的影响,最终选定使用goodturing数据平滑方法对模型进行优化。 (4)将生成的trigram语言模型应用在本课题组研究开发的维吾尔语连续语音识别系统中,替换掉原先的bigram语言模型。 实验结果显示,句子识别率由原来的68.98提高到73.29%,词的识别率由原来的94.65%提高到96.27%。",维吾尔语; 连续语音识别; 混淆集; 语言模型; CMUCamToolkit工具; 吾守尔·斯拉木; 计算机应用技术 年期：2010年第01期网络出版时间：2009-12-16——2010-01-15
汉语大词汇量连续语音识别系统,张爱英; 倪崇嘉,科学中国人,2008-11-15,特色期刊,3,128,"本文主要论述了汉语大词汇量连续语音识别系统的框架与设计方法,对语音识别系统的原理进行了分析,并对近年来语音识别技术未来发展动向进行了讨论。",语音识别; 声学模型; 语言模型; 搜索(解码)技术;
大词汇量连续语音识别中搜索空间的表示及相关搜索方法的研究进展,杨凤芹;孙吉贵;张长胜;张长海,计算机科学,2008-02-25,期刊,6,324,"本文综述了近年来大词汇量连续语音识别中搜索空间的表示及相关搜索方法的研究进展,分析了搜索空间的表示及相关搜索方法对语音识别性能产生的影响,并对本领域的研究中存在的问题和未来的发展动向进行了讨论。",大词汇量连续语音识别; 搜索空间; 搜索; 声学模型; 语言模型;
大词汇量连续语音识别系统中统计语言模型的研究,邹荣,北京邮电大学,2006-02-10,硕士,26,1114,语音识别是模式识别领域的一个重要的研究课题，它的发展将会对未来的人机交互界面带来极大的影响。而在语音识别的研究中，大词汇量、非特定人、连续语音识别是最困难，最具有挑战性的一个课题。目前虽然已有许多大词汇量连续语音识别系统问世，但是其性能还远远达不到大规模应用的要求，对于它的进一步研究具有重要的实际意义。 语言模型是描述自然语言内在规律的数学模型。随着语料库语言学的崛起，基于语料库的统计语言模型逐渐取代了传统的人工编制的语言学文法，被广泛地应用于自然语言处理的各个应用领域。 本文研究的目的是建立基于词上下文的汉语统计语言模型。首先讨论了统计语言模型的构造原理、评价标准和存在的一些问题。建立了一个具有一定规模、分类齐全的语料库，并完成了语料库的预处理、分词方案。采用CMUCamToolkit工具包完成语言模型的训练和评价工作。此外，进行了大量的实验，从预处理方案、训练语料的规模、数据平滑方法、语料的搭配情况，词表文件的选择，工具包使用参数的设置等方面对语言模型进行了优化和改进，使语音识别系统识别率有了显著提高。 本文针对模型文件中的词表文件建立了一个音字转换系统，这个模块用于将语音识别系统中的声学模型和语言模型连接起来，具有十分重要的作用。解决了多音字处理问题，提出将多音字分的读音分为低频音和高频音的处理方法，解决了多音字词语注音时需要人工干预的问题，并且提出了一种有效的数据结构方法，大大提高了汉字拼音搜索匹配的速度。这个模块也可用于声学模型的拼接训练，不需要在识别内容改变的情况下重新进行整词训练，节省了大量的人力物力。 本文系统的介绍了大词汇量连续语音识别系统的整体模型和各个组成部分，并阐明一个可靠的语言模型对于提高连续语音识别系统的识别正确率，起着至关重要的作用。相对于已发展得较为成熟的声学模型来说，语言模型还有极大的发展空间。,语音识别; 隐马尔可夫模型; N-gram; 语言模型; 语料库; CMUCam-Toolkit; 数据平滑; 音字转换; 郭军; 信号与信息处理 年期：2006年第11期网络出版时间：2006-10-16——2006-11-15
语言模型训练语料处理方法及解码词典的设计,林小俊;田浩;王馨浩;杜蕴璇;许敏,第八届全国人机语音通讯学术会议论文集,2005-10-01,中国会议,0,131,"语言模型是大词汇量连续语音识别系统的核心模块,其性能受建模所用训练语料的影响很大。本文基于自然语言处理技术,设计并实现了一个针对汉语语音识别的专用分词系统。同时,针对原有解码词典与分词结果存在不匹配的问题, 提出了一种将分词、语言模型训练及解码置于一个通用词典框架之下的新设计方案。最后,基于语言模型的分支度、以及语音识别结果对上述处理方法进行评价,取得了较好结果。",语言模型; 训练语料; 分词;
汉语大词汇量连续语音识别系统研究进展,刘加,电子学报,2000-01-25,期刊,259,1904,本文综述了近年来大词汇量连续语音识别技术进步和发展，描述了大词汇量连续汉语语音识别系统的设计方法．对语音识别系统中的一些关键技术和原理进行了详细地分析和讨论，并对语音识别技术进一步发展中存在的问题和近年语音识别研究发展动向进行了讨论．,语音识别; 语言模型; 稳健语音识别; 说话人自适应技术;
蒙古语连续语音识别在不同结构语言模型下精度的讨论,伊.达瓦; 匂坂芳典; 卢绪刚; 中村哲,第十届全国人机语音通讯学术会议（NCMMSC2009）论文摘要集,2009-08-14,国际会议,3,66,"统计方法处理口语至今仍然是口语处理的核心技术.目前处理水平较高的英语,中文及日本语等语言均采用统计处理方法.但是,各自语言存在独特的发音方式和文本构造,即使是采用同类方法建立语音-语言模型,由于语言本身的差异也会引起性能上的较大差异.研究和定量分析这种差异对于新语言口语处理性能的改善将有很大帮助.本文以蒙古语为例研讨了黏着性语言语音识别在使用不同结构语言模型时的识别精度.结果显示和常用bigram模型和聚类模型相比,通过相似词分类后的聚类模型可以提高识别精度.",蒙古语; 连续语语音识别; 统计语言模型; 黏着语言; 相似词分类.;
大词汇量连续语音识别系统的统计语言模型应用研究,张强,西南交通大学,2009-05-01,硕士,13,478,"随着语音识别技术深入广泛的应用,它越来越将成为模式识别中的一个非常重要的研究课题,它的发展将会对未来的生活、工作带来极大的影响,而且该技术也将会成为未来十年的主流技术。近年来,由于在语音识别的研究中大词汇量、非特定人、连续语音识别是最困难、也最具有挑战性的一个课题和其广泛的应用前景,所以,它吸引众多的机构和公司相继投入研究和开发。虽然基于汉语的大词汇量连续语音识别系统近年来取得了快速的发展,但其性能还远远不能满足大规模应用的要求,为此对该技术进一步的研究有着非常重要的意义和价值。 在大词汇量连续语音识别系统中,语言模型的地位是非常重要。其性能的好坏直接影响到整个语音识别系统的使用范围和识别效果。因此,构建和更新一个可靠的语言模型对语音识别系统是非常关键的。 本文首先详细讨论了统计语言模型的工作原理、平滑技术、评价标准等相关理论。接着,在Linux环境下搭建HTK建模平台,利用Linux下强大的命令工具并通过编写Bash和Perl脚本程序,完成对训练数据的预处理和分词,建立了能够达到HTK中语言建模工具HLM要求的语料库。然后,利用HLM建模工具完成对训练数据的不断训练,并生成一个Tri-gram的语言模型,然后对该语言模型的性能进行评估。由于识别领域内容的不断更新,导致语音识别系统中语言模型性能变差,在识别过程中出现大量的集外词。因此,提出了一种利用HTML Parser和PDFBox开发工具包进行编程来提取网页内容和PDF文档作为训练数据来源自动构建更新语言模型的完整的解决方案,采用该方案可较好地改善语言模型的性能。 最后,本文大概地介绍了大词汇量连续语音识别系统的整体框架,并通过具体的实验来验证了所建立语言模型在语音识别系统中的识别效果。由于识别结果不可能完全正确,因此本文探讨了一种对识别后的内容、时间进行修改和调整的方法,保证了识别后结果与说话人真实内容的一致,从而提高了语音识别的正确性。",大词汇量连续语音识别; 统计语言模型; Tri-gram语言模型; 语料库; 语言模型自动更新; 陶宏才; 计算机应用技术 年期：2010年第02期网络出版时间：2010-01-16——2010-02-15
汉语大词汇量连续语音识别系统研究进展,倪崇嘉; 刘文举; 徐波,中文信息学报,2009-01-15,期刊,124,3852,"大词汇量连续语音识别(LVCSR)技术近年来发展迅速,并在许多领域得到了广泛的应用,国内外许多大公司加大了对语音识别技术的研究,不少商业化的语音识别系统已经面世,并得到较为广泛的使用。该文综述了近年来大词汇量连续语音识别技术的研究进展,描述了汉语大词汇量连续语音识别系统,主要是基于统计方法的语音识别系统的框架与设计方法,对语音识别系统的一些关键技术和原理进行了分析,并对近年来国内外对语音识别研究发展动向进行了讨论。",计算机应用; 中文信息处理; 综述; 语音识别; 模型自适应; 搜索技术;
蒙古语非特定人大词汇量连续语音识别系统的研究与实现,包世恩,内蒙古大学,2005-05-10,硕士,27,297,"语音识别主要是指让机器听懂人说的话,即在各种情况下准确地识别出语音的内容,从而根据其信息,执行人的各种意图。它是一门涉及面很广的交叉学科,与计算机、通信、语音语言学、数里统计、信号处理、人工智能等学科都有密切的关系。蒙古语是世界范围内有影响的民族语言,在内蒙古自治区等少数民族地区广为使用。在英语、汉语等语言的语音识别已经进入实用化,而蒙古语语音识别尚处于空白的情况下,我们选择大词汇量连续蒙古语语音识别系统作为研究课题对繁荣发展少数民族文化、促进民族地区的社会进步具有重要的意义。 语音识别系统主要分为孤立词、连接词和连续语音识别系统,以及中小词汇量和大词汇量的特定人和非特定人的语音识别系统,其中特定人的孤立词、连接词的中小词汇量的语音识别系统相对容易实现且识别率较高。但非特定人的大词汇量连续语音识别系统的实现难度较大,识别率不易达到很高。但这种语音识别系统的通用性好、适应面广,是近年来语音识别的主要研究方向。 语音识别系统目前主流的研究途径是随机模型法,其中的突出代表就是基于隐马尔可夫(HMM)模型统一框架的大词汇量连续语音识别。其中在声学语音层使用三音子模型作为基本的子词单元(sub-word unit),在词层句法层使用基于双词文法(bi-gram)和三词文法(tri-gram)的统计语言模型。 本语音识别系统使用HTK作为训练和识别工具,使用三音子模型作为基本的子词单元,在词层句法层分别使用基于规则的语言模型和统计语言模型进行实验,并比较了实验结果。",模式识别; 语音识别; 隐马尔可夫模型(HMM); 三音子(tri-phone); 双词文法(bi-gram); 统计语言模型; 高光来; 计算机软件与理论 年期：2006年第03期网络出版时间：2006-02-16——2006-03-15
基于BERT—BiLSTM—CRF模型的中文岩石描述文本命名实体与关系联合提取,陈忠良; 袁峰; 李晓晖; 张明明,地质论评,2022-03-15,期刊,1,1169,"地质调查正在从“数字化”走向“智能化”,需要在大数据思维的指导下，面向非结构化数据开展机器阅读和地质知识的自动提取。地学命名实体和关系联合提取是当前研究的难点和核心。本文采用基于大规模预训练中文语言模型的BERT—BiLSTM—CRF方法开展岩石描述文本命名实体与关系联合提取。首先，通过收集数字地质填图工作中的剖面测量和路线地质观测数据，建立岩石描述语料；然后，在岩石学理论指导下分析岩石知识组成，完成岩石知识图谱命名实体与关系的模式设计，标注岩石语料；最后，开展岩石描述语料知识提取的深度学习训练和消融试验对比。试验结果显示，大规模预训练中文语言模型(BERT)对岩石描述语料知识提取具有较高的适用性。推荐的BERT—BiLSTM—CRF模型方法对岩石命名实体与关系联合提取的准确率(F1值)为91.75%,对岩石命名实体识别的准确率(F1值)为97.38%。消融试验证明基于BERT的词嵌入层对岩石描述知识提取的性能提升影响显著，双向长短时记忆网络模型层(BiLSTM Layer)能提升实体关系联合提取性能。",大数据思维; 深度学习; 预训练中文语言模型; 命名实体识别; 关系提取;
基于云模型和多层权重求解的多粒度语言大群体决策方法,王佩; 张婧; 张威威,控制与决策,2021-08-12,期刊,13,783,"针对属性权重部分未知且专家权重完全未知的多粒度语言大群体决策问题,提出一种基于云模型的决策方法.首先,构建一种基于信任关系的专家权重求解模型来计算专家权重;其次,将多粒度语言转换为云模型并进行聚类;然后,构建一致性优化模型来求解属性权重,从而得到各个方案的综合评价值并对方案进行排序.所构造的专家赋权模型可以有效解决大群体决策过程中决策人数众多、无法客观给出专家权重信息的问题,而且通过定义的直觉信任函数,还可以对专家之间的信任关系进行刻画,充分挖掘专家之间的信息;将多粒度语言转换为云模型,可以有效刻画语言信息的模糊性和随机性,从而避免信息的丢失和失真.",大群体决策; 多粒度语言; 云模型; 多层权重求解; 信任关系;
基于大数据的企业竞争情报系统模型研究,彭颖,西南民族大学学报(自然科学版),2021-07-19,期刊,4,565,"大数据背景下,数据繁杂、数据的广度和深度达到了一定程度,给企业竞争情报的搜集、处理、分析提出了新的、艰巨的挑战.针对大数据的这些特性,需要革新数据处理的技术以适应大数据时代竞争情报的研究趋势.从数据的视角出发,形成了一套基于大数据的企业竞争情报数据共享交换规范,定义了一套基于大数据的企业竞争情报管理标记语言EIMML,设计和实现了基于大数据的企业竞争情报数据注册中心,最后提出了一种新的分布式企业竞争情报系统架构.",大数据; 竞争情报; EIMML; 数据注册中心;
定量分析：大数据背景下语言哲学研究方法论,陈伟,浙江社会科学,2021-06-10,期刊,2,1065,"大数据时代,在数据驱动下人文社会科学的研究方法在某些领域已发生改变,由定性研究为主转向定量研究为主,以语言作为研究对象的语言哲学也是如此。定量分析法之所以越来越受到重视,是因为它能够适应大数据和云计算的需求,可以提高精度以及保证处理结果的准确性和可靠性。语言哲学中定量分析法主要有基于模型技术(计算机模拟、数学模型)的方法,和数据驱动(实验哲学、语料库)的方法,这些方法使得语言哲学的研究对象发生转变,而且为人文社科研究提供新范式,并可对相关研究实践进行重构。大数据时代背景下,数据已成为比自然语言更加精准、便利、可操作、可计算的科学语言,语言哲学研究也将由此发生数据化的变革。",定量分析; 大数据; 语言哲学; 方法论; 语料库;
基于大数据的C语言个性化学习分析模型的研究及应用,甘宇雨; 刘勇; 张桂芬,无线互联科技,2021-05-25,期刊,0,147,"文章以计算机编程类C语言进行课程教学,构建基于移动互联网大数据的学生个性化需求与学习分析模型。模型通过发现每个学生的实际需求与学习活动进程,可根据每个学生的实际需求和与学习能力为其量身设计个性多样化方式的学习途径。",大数据; C语言; 个性化学习; 分析模型;
基于新浪微博大数据分析下的《乘风破浪的姐姐》,孔明,北方传媒研究,2021-04-20,期刊,0,992,"本研究为基于新浪微博大数据分析热门综艺《乘风破浪的姐姐》,透过社交媒体分析网络舆论对该节目的关注倾向,探究网民对该综艺的关注热点。利用网络爬虫技术在新浪微博上爬取含有关键词""乘风破浪的姐姐""的所有博文作为研究数据,基于词频统计和LDA主题模型提取主题,从文本特征角度分析网络舆论对该综艺的关注热点。研究发现,网络舆论对该综艺的关注主要集中于""话题人物""""女性价值""及""投票打榜""三个方面。",《乘风破浪的姐姐》; 微博; 词频统计; LDA主题模型;
融媒体信息推荐模型构建与信息推荐方法研究,崔金栋; 陈思远,情报科学,2020-07-01,期刊,4,315,"【目的/意义】为解决融媒体平台海量资源主题提取难、信息推荐精度低问题,笔者利用大数据和NLP技术对现有推荐方法加以优化,改进后的模型在精准度和匹配度方面得到显著提升。【方法/过程】首先利用MapReduce对融媒体资源数据进行过滤处理,再借助NLP技术对资源数据提取主题特征、同时对用户进行需求特征描述,然后将二者进行匹配以确定推荐内容,最后使用对比分析法检验本研究推荐方法的可行性。【结果/结论】与传统方法相比,本研究方法所推荐内容更符合用户需求,其推荐精确度和匹配度也有显著提高。推荐方法评价结果显示,随着推荐列表数量变动,曲线会有一定波动,其波动原因有待深入研究与分析。",融媒体; 信息推荐模型; 大数据; 自然语言处理技术;
