标题,"简写作者,期刊,时间,出版商",简写摘要,引用,被引用次数,文献链接
"Hello, it's GPT-2--how can I help you? towards the use of pretrained language models for task-oriented dialogue systems","P Budzianowski, I Vulić - arXiv preprint arXiv:1907.05774, 2019 - arxiv.org","… We use the open-source implementation of the GPT architecture that provides both GPT
and GPT-2 fine-tunable checkpoints.Following previous work (Radford et al., 2018; Wolf et al.…","Budzianowski, P., & Vulić, I. (2019). Hello, it's GPT-2--how can I help you? towards the use of pretrained language models for task-oriented dialogue systems. arXiv preprint arXiv:1907.05774.",247,https://arxiv.org/pdf/1907.05774
An empirical study of gpt-3 for few-shot knowledge-based vqa,"Z Yang, Z Gan, J Wang, X Hu, Y Lu, Z Liu… - Proceedings of the AAAI …, 2022 - ojs.aaai.org","… (b) Alternatively, PICa directly prompts GPT-3 to jointly … descriptions that GPT-3 can
understand, and adapt GPT-3 to … tuning GPT-3, we convert images into text sequences that GPT3 …","Yang, Z., Gan, Z., Wang, J., Hu, X., Lu, Y., Liu, Z., & Wang, L. (2022, June). An empirical study of gpt-3 for few-shot knowledge-based vqa. In Proceedings of the AAAI Conference on Artificial Intelligence (Vol. 36, No. 3, pp. 3081-3089).",72,https://ojs.aaai.org/index.php/AAAI/article/download/20215/19974
GPT-3: What's it good for?,"R Dale - Natural Language Engineering, 2021 - cambridge.org","GPT-3 made the mainstream media headlines this year, generating far more interest than
we’d normally expect of a technical advance in NLP. People are fascinated by its ability to …","Dale, R. (2021). GPT-3: What’s it good for?. Natural Language Engineering, 27(1), 113-118.",165,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/0E05CFE68A7AC8BF794C8ECBE28AA990/S1351324920000601a.pdf/gpt3_whats_it_good_for.pdf
A Complete Survey on Generative AI (AIGC): Is ChatGPT from GPT-4 to GPT-5 All You Need?,"C Zhang, C Zhang, S Zheng, Y Qiao, C Li… - arXiv preprint arXiv …, 2023 - arxiv.org","… model GPT-4, is just a tool out of numerous AIGC tasks. Impressed by the capability of the
ChatGPT, many people are wondering about its limits: can GPT-5 (or other future GPT variants…","Zhang, C., Zhang, C., Zheng, S., Qiao, Y., Li, C., Zhang, M., ... & Hong, C. S. (2023). A Complete Survey on Generative AI (AIGC): Is ChatGPT from GPT-4 to GPT-5 All You Need?. arXiv preprint arXiv:2303.11717.",2,https://arxiv.org/pdf/2303.11717
Gpt-neox-20b: An open-source autoregressive language model,"S Black, S Biderman, E Hallahan, Q Anthony… - arXiv preprint arXiv …, 2022 - arxiv.org","… In studying GPT-NeoX-20B, we find several noteworthy phenomena at odds with the … to
GPT-3 and doesn’t apply to either GPT-NeoX-20B or FairSeq models. Finally, we find that GPT-…","Black, S., Biderman, S., Hallahan, E., Anthony, Q., Gao, L., Golding, L., ... & Weinbach, S. (2022). Gpt-neox-20b: An open-source autoregressive language model. arXiv preprint arXiv:2204.06745.",108,https://arxiv.org/pdf/2204.06745
End-to-end neural pipeline for goal-oriented dialogue systems using GPT-2,"D Ham, JG Lee, Y Jang, KE Kim - … of the 58th annual meeting of …, 2020 - aclanthology.org","… Our system consists of (1) the GPT-2 model finetuned on the delexicalized version of …
mentioned before, GPT-2 invokes the query module to interact with the database. However, GPT-2 …","Ham, D., Lee, J. G., Jang, Y., & Kim, K. E. (2020, July). End-to-end neural pipeline for goal-oriented dialogue systems using GPT-2. In Proceedings of the 58th annual meeting of the association for computational linguistics (pp. 583-592).",149,https://aclanthology.org/2020.acl-main.54.pdf
Locating and editing factual associations in GPT,"K Meng, D Bau, A Andonian… - Advances in Neural …, 2022 - proceedings.neurips.cc","… 2021), but GPT has architectural differences such as … activations within GPT using causal
mediation analysis (Pearl… Then to elicit the fact in GPT, we provide a natural language …","Meng, K., Bau, D., Andonian, A., & Belinkov, Y. (2022). Locating and editing factual associations in GPT. Advances in Neural Information Processing Systems, 35, 17359-17372.",39,https://proceedings.neurips.cc/paper_files/paper/2022/file/6f1d43d5a82a37e89b0665b33bf3a182-Paper-Conference.pdf
The radicalization risks of GPT-3 and advanced neural language models,"K McGuffie, A Newhouse - arXiv preprint arXiv:2009.06807, 2020 - arxiv.org","… radical ideologies, we find that GPT-3 demonstrates significant improvement over its
predecessor, GPT-2, in generating extremist texts. We also show GPT-3's strength in generating text …","McGuffie, K., & Newhouse, A. (2020). The radicalization risks of GPT-3 and advanced neural language models. arXiv preprint arXiv:2009.06807.",80,"https://arxiv.org/pdf/2009.06807.pdf),"
Ubar: Towards fully end-to-end task-oriented dialog system with gpt-2,"Y Yang, Y Li, X Quan - Proceedings of the AAAI Conference on Artificial …, 2021 - ojs.aaai.org","This paper presents our task-oriented dialog system UBAR which models task-oriented
dialogs on a dialog session level. Specifically, UBAR is acquired by fine-tuning the large pre-…","Yang, Y., Li, Y., & Quan, X. (2021, May). Ubar: Towards fully end-to-end task-oriented dialog system with gpt-2. In Proceedings of the AAAI Conference on Artificial Intelligence (Vol. 35, No. 16, pp. 14230-14238).",94,https://ojs.aaai.org/index.php/AAAI/article/view/17674/17481
Bailando: 3d dance generation by actor-critic gpt with choreographic memory,"L Siyao, W Yu, T Gu, C Lin, Q Wang… - Proceedings of the …, 2022 - openaccess.thecvf.com","… Then, we introduce a motion GPT to translate the music feature and source pose codes
to … beats, we propose actor critic learning on the motion GPT with our newly designed beat-align …","Siyao, L., Yu, W., Gu, T., Lin, C., Wang, Q., Qian, C., ... & Liu, Z. (2022). Bailando: 3d dance generation by actor-critic gpt with choreographic memory. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (pp. 11050-11059).",23,http://openaccess.thecvf.com/content/CVPR2022/papers/Siyao_Bailando_3D_Dance_Generation_by_Actor-Critic_GPT_With_Choreographic_Memory_CVPR_2022_paper.pdf
"Changes with different diets in plasma enzymes (GOT, GPT, LDH, ALP) and plasma lipids (cholesterol, triglycerides) of sea-bass (Dicentrarchus labrax)","P Lemaire, P Drai, A Mathieu, S Lemaire, S Carriere… - Aquaculture, 1991 - Elsevier","… Initial GPT activity was 4 to 5 times higher in the fish given diets A and B than in the wild
fish, … GPT levels decreased regularly thereafter for the fish given diet B; by contrast, GPT …","Lemaire, P., Drai, P., Mathieu, A., Lemaire, S., Carriere, S., Giudicelli, J., & Lafaurie, M. (1991). Changes with different diets in plasma enzymes (GOT, GPT, LDH, ALP) and plasma lipids (cholesterol, triglycerides) of sea-bass (Dicentrarchus labrax). Aquaculture, 93(1), 63-75.",187,没有链接
Comparison of GMF/GPT with VMF1/ECMWF and implications for atmospheric loading,"P Steigenberger, J Boehm, V Tesmer - Journal of Geodesy, 2009 - Springer","This paper compares estimates of station coordinates from global GPS solutions obtained by
applying different troposphere models: the Global Mapping Function (GMF) and the Vienna …","Steigenberger, P., Boehm, J., & Tesmer, V. (2009). Comparison of GMF/GPT with VMF1/ECMWF and implications for atmospheric loading. Journal of Geodesy, 83, 943-951.",140,http://www.acc.igs.org/tropo/gpt-gmf_steigenberg_jog09.pdf
[PDF] Can GPT-3 pass a Writer's turing test?,"K Elkins, J Chun - Journal of Cultural Analytics, 2020 - culturalanalytics.org","… Shall we have GPT take a literature class and try its hand at writing… with GPT-2 and more
recent samples from GPT-3. … ’ thoughts on GPT-3 as well as apologias by GPT-3 itself.The …","Elkins, K., & Chun, J. (2020). Can GPT-3 pass a Writer’s turing test?. Journal of Cultural Analytics, 5(2).",97,https://culturalanalytics.org/article/17212.pdf
Testing of global pressure/temperature (GPT) model and global mapping function (GMF) in GPS analyses,"J Kouba - Journal of Geodesy, 2009 - Springer","… for by the seasonal GPT model pressure values or the a … data for a priori z h , the GPT-based
PPP height repeatabilities are … larger than those caused by the GPT a priori pressure errors. …","Kouba, J. (2009). Testing of global pressure/temperature (GPT) model and global mapping function (GMF) in GPS analyses. Journal of Geodesy, 83, 199-208.",111,https://www.researchgate.net/profile/Jan-Kouba/publication/226357140_Testing_of_global_pressuretemperature_GPT_model_and_global_mapping_function_GMF_in_GPS_analyses/links/54381e1d0cf204cab1d59e0f/Testing-of-global-pressure-temperature-GPT-model-and-global-mapping-function-GMF-in-GPS-analyses.pdf
AI as the next GPT: a Political-Economy Perspective,M Trajtenberg - 2018 - nber.org,"… Yet, as many occupations will indeed vanish with the advent of AI as the new General
Purpose Technology (GPT), we should search for ways to ameliorate the detrimental effects of AI, …","Trajtenberg, M. (2018). AI as the next GPT: a Political-Economy Perspective (No. w24245). National Bureau of Economic Research.",161,https://www.nber.org/system/files/working_papers/w24245/w24245.pdf
CD20-TCB with Obinutuzumab Pretreatment as Next-Generation Treatment of Hematologic MalignanciesCD20-TCB with Gpt in Hematologic Malignancies,"M Bacac, S Colombetti, S Herter, J Sam, M Perro… - Clinical Cancer …, 2018 - AACR","… single administration of obinutuzumab (Gazyva pretreatment, Gpt) prior to the first infusion
of CD20-TCB. Our data provide evidence that Gpt abrogated cytokine release of the first CD20…","Bacac, M., Colombetti, S., Herter, S., Sam, J., Perro, M., Chen, S., ... & Umaña, P. (2018). CD20-TCB with Obinutuzumab Pretreatment as Next-Generation Treatment of Hematologic MalignanciesCD20-TCB with Gpt in Hematologic Malignancies. Clinical Cancer Research, 24(19), 4785-4797.",126,没有链接
GPT-too: A language-model-first approach for AMR-to-text generation,"M Mager, RF Astudillo, T Naseem, MA Sultan… - arXiv preprint arXiv …, 2020 - arxiv.org","… We show that it is surprisingly easy to fine-tune GPT-2 to learn AMR graph … Second, to
see if GPT-2 is in fact learning from the graph structure, we remove all the edges from the DFS, …","Mager, M., Astudillo, R. F., Naseem, T., Sultan, M. A., Lee, Y. S., Florian, R., & Roukos, S. (2020). GPT-too: A language-model-first approach for AMR-to-text generation. arXiv preprint arXiv:2005.09123.",74,https://arxiv.org/pdf/2005.09123
"Benefits, limits, and risks of GPT-4 as an AI Chatbot for medicine","P Lee, S Bubeck, J Petro - New England Journal of Medicine, 2023 - Mass Medical Soc","… The interaction shown in Panel C is a new session in which GPT-4 was asked to read and
validate the conversation shown in Panels A and B, and in doing so, GPT-4 detected the …","Lee, P., Bubeck, S., & Petro, J. (2023). Benefits, limits, and risks of GPT-4 as an AI Chatbot for medicine. New England Journal of Medicine, 388(13), 1233-1239.",8,没有链接
[HTML] Genotoxic responses to titanium dioxide nanoparticles and fullerene in gpt delta transgenic MEF cells,"A Xu, Y Chai, T Nohmi, TK Hei - Particle and …, 2009 - particleandfibretoxicology …","Titanium dioxide (TiO2) nanoparticles and fullerene (C60) are two attractive manufactured
nanoparticles with great promise in industrial and medical applications. However, little is …","Xu, A., Chai, Y., Nohmi, T., & Hei, T. K. (2009). Genotoxic responses to titanium dioxide nanoparticles and fullerene in gpt delta transgenic MEF cells. Particle and fibre toxicology, 6(1), 1-13.",158,https://particleandfibretoxicology.biomedcentral.com/articles/10.1186/1743-8977-6-3
"Revolutionizing radiology with GPT-based models: Current applications, future possibilities and limitations of ChatGPT","A Lecler, L Duron, P Soyer - Diagnostic and Interventional Imaging, 2023 - Elsevier","… of GPT-based … for GPT-based models in the field of radiology at large will be developed,
further enhancing the role of technology in the diagnostic process. ChatGPT is a variant of GPT …","Lecler, A., Duron, L., & Soyer, P. (2023). Revolutionizing radiology with GPT-based models: Current applications, future possibilities and limitations of ChatGPT. Diagnostic and Interventional Imaging.",13,没有链接
The internet as a GPT: factor market implications,"RG Harris - General purpose technologies and economic growth, 1998 - books.google.com","The concept of a general purpose technology is subject to a variety of interpretations as
discussed by Lipsey et al. in chapter 2. The original analytical models of Bresnahan and …","Harris, R. G. (1998). The internet as a GPT: factor market implications. General purpose technologies and economic growth, 145-166.",142,没有链接
How good are gpt models at machine translation? a comprehensive evaluation,"A Hendy, M Abdelrehim, A Sharaf, V Raunak… - arXiv preprint arXiv …, 2023 - arxiv.org","… Our results show that GPT models achieve very competitive … We also show that hybrid
approaches, which combine GPT … understand the characteristics of GPT translations. We hope that …","Hendy, A., Abdelrehim, M., Sharaf, A., Raunak, V., Gabr, M., Matsushita, H., ... & Awadalla, H. H. (2023). How good are gpt models at machine translation? a comprehensive evaluation. arXiv preprint arXiv:2302.09210.",13,https://arxiv.org/pdf/2302.09210
Potential use of Chat GPT in global warming,"SS Biswas - Annals of biomedical engineering, 2023 - Springer","… concepts GPT was trained on a large corpus of text, but it may … GPT may not have the ability
to understand the context in which questions are being asked. (3) Bias in training data GPT …","Biswas, S. S. (2023). Potential use of Chat GPT in global warming. Annals of biomedical engineering, 1-2.",15,没有链接
Acclimation of metabolism to light in Arabidopsis thaliana: the glucose 6‐phosphate/phosphate translocator GPT2 directs metabolic acclimation,"BC Dyson, JW Allwood, R Feil, YUN Xu… - Plant, cell & …, 2015 - Wiley Online Library","… Here, we examine the impact of GPT 2 on leaf metabolism … We suggest that GPT 2 activity
results in the net import of glucose … We suggest that GPT 2 alters the distribution of metabolites …","Dyson, B. C., Allwood, J. W., Feil, R., Xu, Y. U. N., Miller, M., Bowsher, C. G., ... & Johnson, G. N. (2015). Acclimation of metabolism to light in A rabidopsis thaliana: the glucose 6‐phosphate/phosphate translocator GPT 2 directs metabolic acclimation. Plant, cell & environment, 38(7), 1404-1417.",84,https://onlinelibrary.wiley.com/doi/pdf/10.1111/pce.12495
[引用] Who Were the 10 Best and 10 Worst US Presidents? The Opinion of Chat GPT (Artificial Intelligence),"RW McGee - … Opinion of Chat GPT (Artificial Intelligence)(February …, 2023",无,"McGee, R. W. (2023). Who Were the 10 Best and 10 Worst US Presidents? The Opinion of Chat GPT (Artificial Intelligence). The Opinion of Chat GPT (Artificial Intelligence)(February 23, 2023).",30,https://www.researchgate.net/profile/Robert-Mcgee-5/publication/368719515_WHO_WERE_THE_10_BEST_AND_10_WORST_US_PRESIDENTS_The_Opinion_of_Chat_GPT_Artificial_Intelligence/links/63f701b10cf1030a5643cb93/WHO-WERE-THE-10-BEST-AND-10-WORST-US-PRESIDENTS-The-Opinion-of-Chat-GPT-Artificial-Intelligence.pdf
Unleash GPT-2 power for event detection,"APB Veyseh, V Lai, F Dernoncourt… - Proceedings of the 59th …, 2021 - aclanthology.org","… for the fine-tuning of GPT to differentiate event types and produce high-quality data. To
this end, instead of directly generating data for ED, we propose to use GPT-2 to only generate …","Veyseh, A. P. B., Lai, V., Dernoncourt, F., & Nguyen, T. H. (2021, August). Unleash GPT-2 power for event detection. In Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers) (pp. 6271-6282).",27,https://aclanthology.org/2021.acl-long.490.pdf
Want to reduce labeling cost? GPT-3 can help,"S Wang, Y Liu, Y Xu, C Zhu, M Zeng - arXiv preprint arXiv:2108.13487, 2021 - arxiv.org","… models trained with GPT-3 labels can achieve better performance than raw GPT-3. … GPT-3
labeling. Finally, we propose active labeling to leverage the advantages from human and GPT-…","Wang, S., Liu, Y., Xu, Y., Zhu, C., & Zeng, M. (2021). Want to reduce labeling cost? GPT-3 can help. arXiv preprint arXiv:2108.13487.",33,https://arxiv.org/pdf/2108.13487
Locating and editing factual knowledge in gpt,"K Meng, D Bau, A Andonian, Y Belinkov - arXiv preprint arXiv:2202.05262, 2022 - arxiv.org","… 2021), but GPT has architectural differences such as … activations within GPT using causal
mediation analysis (Pearl… Then to elicit the fact in GPT, we provide a natural language …","Meng, K., Bau, D., Andonian, A., & Belinkov, Y. (2022). Locating and editing factual knowledge in gpt. arXiv preprint arXiv:2202.05262.",26,https://arxiv.org/pdf/2202.05262.pdf%C3%82%C2%A0
Instruction tuning with gpt-4,"B Peng, C Li, P He, M Galley, J Gao - arXiv preprint arXiv:2304.03277, 2023 - arxiv.org","… instruction-following data generated by GPT-4 leads to superior zero-… GPT-4 to enable a
comprehensive evaluation and reward model training. We make our data generated using GPT…","Peng, B., Li, C., He, P., Galley, M., & Gao, J. (2023). Instruction tuning with gpt-4. arXiv preprint arXiv:2304.03277.",6,https://arxiv.org/pdf/2304.03277
A new structural attack for GPT and variants,"R Overbeck - Progress in Cryptology–Mycrypt 2005: First …, 2005 - Springer","… In this paper we build a new structural attack on the GPT cryptosystem. Unlike Gibson’s attacks
… the GPT cryptosystem and its Niederreiter variant. Finally we show how to attack the GPT …","Overbeck, R. (2005). A new structural attack for GPT and variants. In Progress in Cryptology–Mycrypt 2005: First International Conference on Cryptology in Malaysia, Kuala Lumpur, Malaysia, September 28-30, 2005. Proceedings 1 (pp. 50-63). Springer Berlin Heidelberg.",93,没有链接
Automatic text summarization of covid-19 medical research articles using bert and gpt-2,"V Kieuvongngam, B Tan, Y Niu - arXiv preprint arXiv:2006.01997, 2020 - arxiv.org","With the COVID-19 pandemic, there is a growing urgency for medical community to keep up
with the accelerating growth in the new coronavirus-related literature. As a result, the COVID-…","Kieuvongngam, V., Tan, B., & Niu, Y. (2020). Automatic text summarization of covid-19 medical research articles using bert and gpt-2. arXiv preprint arXiv:2006.01997.",53,https://arxiv.org/pdf/2006.01997
"Human glutamate pyruvate transaminase (GPT): localization to 8q24. 3, cDNA and genomic sequences, and polymorphic sites","MM Sohocki, LS Sullivan, WR Harrison, EJ Sodergren… - Genomics, 1997 - Elsevier","… cDNA and genomic clones of GPT. We have definitively mapped human GPT to the …
The rat gpt cDNA was labeled by the random primer GPT cDNA. A human liver cDNA library, …","Sohocki, M. M., Sullivan, L. S., Harrison, W. R., Sodergren, E. J., Elder, F. F., Weinstock, G., ... & Daiger, S. P. (1997). Human glutamate pyruvate transaminase (GPT): localization to 8q24. 3, cDNA and genomic sequences, and polymorphic sites. Genomics, 40(2), 247-252.",69,没有链接
Learning to answer by learning to ask: Getting the best of gpt-2 and bert worlds,"T Klein, M Nabi - arXiv preprint arXiv:1911.02365, 2019 - arxiv.org","… Our Method (BERT) denotes the proposed approach using GPT-2 for question … (GPT-2)
denotes the approach employing GPT-2 for question generation as well as the modified GPT-2 …","Klein, T., & Nabi, M. (2019). Learning to answer by learning to ask: Getting the best of gpt-2 and bert worlds. arXiv preprint arXiv:1911.02365.",50,https://arxiv.org/pdf/1911.02365
Is chat gpt biased against conservatives? an empirical study,"RW McGee - An Empirical Study (February 15, 2023), 2023 - papers.ssrn.com","This paper used Chat GPT to create Irish Limericks. During the creation process, a pattern
was observed that seemed to create positive Limericks for liberal politicians and negative …","McGee, R. W. (2023). Is chat gpt biased against conservatives? an empirical study. An Empirical Study (February 15, 2023).",37,https://www.researchgate.net/profile/Robert-Mcgee-5/publication/368621918_Is_Chat_Gpt_Biased_Against_Conservatives_An_Empirical_Study/links/641caf9da1b72772e420b3b4/Is-Chat-Gpt-Biased-Against-Conservatives-An-Empirical-Study.pdf
Generalized perturbation theory (GPT) methods. A heuristic approach,"A Gandini - Advances in Nuclear Science and Technology …, 1987 - Springer","… Basing on a long experience on GPT methods, it is the purpose of this work to illustrate
the GPT methodology in a self-consistent way and extensively, in order to cover a variety of …","Gandini, A. (1987). Generalized perturbation theory (GPT) methods. A heuristic approach. Advances in Nuclear Science and Technology: Festschrift in Honor of Eugene P. Wigner, 205-380.",123,没有链接
[引用] Annie Chan: Three Short Stories Written with Chat GPT,"RW McGee - Available at SSRN 4359403, 2023",无,"McGee, R. W. (2023). Annie Chan: Three Short Stories Written with Chat GPT. Available at SSRN 4359403.",32,https://www.researchgate.net/profile/Robert-Mcgee-5/publication/368536148_ANNIE_CHAN_Three_Short_Stories_Written_with_Chat_GPT/links/63ed35b531cb6a6d1d04768b/ANNIE-CHAN-Three-Short-Stories-Written-with-Chat-GPT.pdf
NLX-GPT: A model for natural language explanations in vision and vision-language tasks,"F Sammani, T Mukherjee… - Proceedings of the …, 2022 - openaccess.thecvf.com","… model (aka, explanation model), eg, GPT. Other than the additional memory resources and
inference … We introduce NLX-GPT, a general, compact and faithful language model that can …","Sammani, F., Mukherjee, T., & Deligiannis, N. (2022). NLX-GPT: A model for natural language explanations in vision and vision-language tasks. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (pp. 8322-8332).",6,https://openaccess.thecvf.com/content/CVPR2022/papers/Sammani_NLX-GPT_A_Model_for_Natural_Language_Explanations_in_Vision_and_CVPR_2022_paper.pdf
Serum glutamic oxaloacetic transaminase (GOT) and glutamic pyruvic transaminase (GPT) levels in diabetes mellitus.,"GM Rao, LO Morghom, MN Kabur… - Indian Journal of …, 1989 - europepmc.org","… or GPT and fasting blood glucose, age, body mass index, heart rate and blood pressure levels.
The mean values of GOT and GPT in … values of GOT and GPT when compared with those …","Rao, G. M., Morghom, L. O., Kabur, M. N., Mohmud, B., & Ashibani, K. (1989). Serum glutamic oxaloacetic transaminase (GOT) and glutamic pyruvic transaminase (GPT) levels in diabetes mellitus. Indian Journal of Medical Sciences, 43(5), 118-121.",65,没有链接
Detecting hate speech with gpt-3,"KL Chiu, A Collins, R Alexander - arXiv preprint arXiv:2103.12407, 2021 - arxiv.org","… such as OpenAI’s GPT-3 can generate hateful … GPT-3 to identify sexist and racist text passages
with zero-, one-, and few-shot learning. We find that with zero- and one-shot learning, GPT…","Chiu, K. L., Collins, A., & Alexander, R. (2021). Detecting hate speech with gpt-3. arXiv preprint arXiv:2103.12407.",31,https://arxiv.org/pdf/2103.12407
[HTML] Artificial Intelligence and Ten Societal Megatrends: An Exploratory Study Using GPT-3,"D Haluza, D Jungwirth - Systems, 2023 - mdpi.com","This paper examines the potential of artificial intelligence (AI) to address societal megatrends,
with a specific focus on OpenAI’s Generative Pre-Trained Transformer 3 (GPT-3). To do …","Haluza, D., & Jungwirth, D. (2023). Artificial Intelligence and Ten Societal Megatrends: An Exploratory Study Using GPT-3. Systems, 11(3), 120.",8,https://www.mdpi.com/2079-8954/11/3/120
Multi-biosensor for GPT and got activity,"JK Park, KS Lee - US Patent 5,705,045, 1998 - Google Patents","57 ABSTRACT Multi-biosensor in which only one enzyme is used for handy and
simultaneous measurement of GPT and GOT activities, and a method for fabricating the multi-biosensor, …","Park, J. K., & Lee, K. S. (1998). U.S. Patent No. 5,705,045. Washington, DC: U.S. Patent and Trademark Office.",156,https://patentimages.storage.googleapis.com/1c/7e/17/05233ccef5c16b/US5705045.pdf
