标题,学科,当前版本,作者,摘要,主题,通讯作者+历史版本
Want to reduce labeling cost? GPT-3 can help,Computer Science > Computation and Language,[Submitted on 30 Aug 2021],"Authors:Shuohang Wang, Yang Liu, Yichong Xu, Chenguang Zhu, Michael Zeng","Abstract: Data annotation is a time-consuming and labor-intensive process for many NLP tasks. Although there exist various methods to produce pseudo data labels, they are often task-specific and require a decent amount of labeled data to start with. Recently, the immense language model GPT-3 with 175 billion parameters has achieved tremendous improvement across many few-shot learning tasks. In this paper, we explore ways to leverage GPT-3 as a low-cost data labeler to train other models. We find that, to make the downstream model achieve the same performance on a variety of NLU and NLG tasks, it costs 50% to 96% less to use labels from GPT-3 than using labels from humans. Furthermore, we propose a novel framework of combining pseudo labels from GPT-3 with human labels, which leads to even better performance with limited labeling budget. These results present a cost-effective data labeling methodology that is generalizable to many practical applications.",Computation and Language (cs.CL),"Submission history
From: Shuohang Wang [view email]
[v1] Mon, 30 Aug 2021 19:18:24 UTC (4,719 KB)"
Locating and editing factual knowledge in gpt,,,,,,
Instruction tuning with gpt-4,Computer Science > Computation and Language,[Submitted on 6 Apr 2023],"Authors:Baolin Peng, Chunyuan Li, Pengcheng He, Michel Galley, Jianfeng Gao","Abstract: Prior work has shown that finetuning large language models (LLMs) using machine-generated instruction-following data enables such models to achieve remarkable zero-shot capabilities on new tasks, and no human-written instructions are needed. In this paper, we present the first attempt to use GPT-4 to generate instruction-following data for LLM finetuning. Our early experiments on instruction-tuned LLaMA models show that the 52K English and Chinese instruction-following data generated by GPT-4 leads to superior zero-shot performance on new tasks to the instruction-following data generated by previous state-of-the-art models. We also collect feedback and comparison data from GPT-4 to enable a comprehensive evaluation and reward model training. We make our data generated using GPT-4 as well as our codebase publicly available.",Computation and Language (cs.CL),"Submission history
From: Baolin Peng [view email]
[v1] Thu, 6 Apr 2023 17:58:09 UTC (1,397 KB)"
Automatic text summarization of covid-19 medical research articles using bert and gpt-2,Computer Science > Computation and Language,[Submitted on 3 Jun 2020],"Authors:Virapat Kieuvongngam, Bowen Tan, Yiming Niu","Abstract: With the COVID-19 pandemic, there is a growing urgency for medical community to keep up with the accelerating growth in the new coronavirus-related literature. As a result, the COVID-19 Open Research Dataset Challenge has released a corpus of scholarly articles and is calling for machine learning approaches to help bridging the gap between the researchers and the rapidly growing publications. Here, we take advantage of the recent advances in pre-trained NLP models, BERT and OpenAI GPT-2, to solve this challenge by performing text summarization on this dataset. We evaluate the results using ROUGE scores and visual inspection. Our model provides abstractive and comprehensive information based on keywords extracted from the original articles. Our work can help the the medical community, by providing succinct summaries of articles for which the abstract are not already available.",Computation and Language (cs.CL),"Submission history
From: Virapat Kieuvongngam [view email]
[v1] Wed, 3 Jun 2020 00:54:44 UTC (1,090 KB)"
Learning to answer by learning to ask: Getting the best of gpt-2 and bert worlds,Computer Science > Computation and Language,[Submitted on 6 Nov 2019],"Authors:Tassilo Klein, Moin Nabi","Abstract: Automatic question generation aims at the generation of questions from a context, with the corresponding answers being sub-spans of the given passage. Whereas, most of the methods mostly rely on heuristic rules to generate questions, more recently also neural network approaches have been proposed. In this work, we propose a variant of the self-attention Transformer network architectures model to generate meaningful and diverse questions. To this end, we propose an easy to use model consisting of the conjunction of the Transformer decoder GPT-2 model with Transformer encoder BERT for the downstream task for question answering. The model is trained in an end-to-end fashion, where the language model is trained to produce a question-answer-aware input representation that facilitates to generate an answer focused question. Our result of neural question generation from text on the SQuAD 1.1 dataset suggests that our method can produce semantically correct and diverse questions. Additionally, we assessed the performance of our proposed method for the downstream task of question answering. The analysis shows that our proposed generation & answering collaboration framework relatively improves both tasks and is particularly powerful in the semi-supervised setup. The results further suggest a robust and comparably lean pipeline facilitating question generation in the small-data regime.",Computation and Language (cs.CL),"Submission history
From: Tassilo Klein [view email]
[v1] Wed, 6 Nov 2019 13:23:41 UTC (772 KB)"
Detecting hate speech with gpt-3,Computer Science > Computation and Language,"[Submitted on 23 Mar 2021 (v1), last revised 24 Mar 2022 (this version, v4)]","Authors:Ke-Li Chiu, Annie Collins, Rohan Alexander","Abstract: Sophisticated language models such as OpenAI's GPT-3 can generate hateful text that targets marginalized groups. Given this capacity, we are interested in whether large language models can be used to identify hate speech and classify text as sexist or racist. We use GPT-3 to identify sexist and racist text passages with zero-, one-, and few-shot learning. We find that with zero- and one-shot learning, GPT-3 can identify sexist or racist text with an average accuracy between 55 per cent and 67 per cent, depending on the category of text and type of learning. With few-shot learning, the model's accuracy can be as high as 85 per cent. Large language models have a role to play in hate speech detection, and with further development they could eventually be used to counter hate speech.",Computation and Language (cs.CL),"Submission history
From: Rohan Alexander [view email]
[v1] Tue, 23 Mar 2021 09:17:22 UTC (72 KB)
[v2] Thu, 4 Nov 2021 15:31:09 UTC (53 KB)
[v3] Wed, 16 Mar 2022 13:14:51 UTC (58 KB)
[v4] Thu, 24 Mar 2022 16:24:54 UTC (59 KB)"
Is GPT-3 text indistinguishable from human text? scarecrow: A framework for scrutinizing machine text,Computer Science > Computation and Language,"[Submitted on 2 Jul 2021 (v1), last revised 7 Mar 2022 (this version, v3)]","Authors:Yao Dou, Maxwell Forbes, Rik Koncel-Kedziorski, Noah A. Smith, Yejin Choi","Abstract: Modern neural language models can produce remarkably fluent and grammatical text. So much, in fact, that recent work by Clark et al. (2021) has reported that conventional crowdsourcing can no longer reliably distinguish between machine-authored (GPT-3) and human-authored writing. As errors in machine generations become ever subtler and harder to spot, it poses a new challenge to the research community for robust machine text evaluation. We propose a new framework called Scarecrow for scrutinizing machine text via crowd annotation. To support the broad range of real machine errors that can be identified by laypeople, the ten error categories of Scarecrow -- such as redundancy, commonsense errors, and incoherence -- are identified through several rounds of crowd annotation experiments without a predefined ontology. We then use Scarecrow to collect over 41k error spans in human-written and machine-generated paragraphs of English language news text. We isolate factors for detailed analysis, including parameter count, training data, and various decoding-time configurations. Our approach successfully quantifies measurable gaps between human authored text and generations from models of several sizes, including fourteen configurations of GPT-3. In addition, our analysis unveils new insights, with detailed rationales provided by laypeople, e.g., that the commonsense capabilities have been improving with larger models while math capabilities have not, and that the choices of simple decoding hyperparameters can make remarkable differences on the perceived quality of machine text. We release our training material, annotation toolkit and dataset at this https URL.",Computation and Language (cs.CL),"Submission history
From: Yao Dou [view email]
[v1] Fri, 2 Jul 2021 22:37:03 UTC (9,992 KB)
[v2] Tue, 6 Jul 2021 21:40:39 UTC (9,992 KB)
[v3] Mon, 7 Mar 2022 22:34:20 UTC (10,001 KB)"
"Heroes, Villains, and Victims, and GPT-3--Automated Extraction of Character Roles Without Training Data",Computer Science > Computation and Language,"[Submitted on 16 May 2022 (v1), last revised 17 May 2022 (this version, v2)]","Authors:Dominik Stammbach, Maria Antoniak, Elliott Ash","Abstract: This paper shows how to use large-scale pre-trained language models to extract character roles from narrative texts without training data. Queried with a zero-shot question-answering prompt, GPT-3 can identify the hero, villain, and victim in diverse domains: newspaper articles, movie plot summaries, and political speeches.",Computation and Language (cs.CL),"Submission history
From: Dominik Stammbach [view email]
[v1] Mon, 16 May 2022 10:08:11 UTC (53 KB)
[v2] Tue, 17 May 2022 08:09:51 UTC (49 KB)"
Improving Short Text Classification With Augmented Data Using GPT-3,Computer Science > Computation and Language,[Submitted on 23 May 2022],"Authors:Salvador Balkus, Donghui Yan","Abstract: GPT-3 is a large-scale natural language model developed by OpenAI that can perform many different tasks, including topic classification. Although researchers claim that it requires only a small number of in-context examples to learn a task, in practice GPT-3 requires these training examples to be either of exceptional quality or a higher quantity than easily created by hand. To address this issue, this study teaches GPT-3 to classify whether a question is related to data science by augmenting a small training set with additional examples generated by GPT-3 itself. This study compares two classifiers: the GPT-3 Classification Endpoint with augmented examples, and the GPT-3 Completion Endpoint with an optimal training set chosen using a genetic algorithm. We find that while the augmented Completion Endpoint achieves upwards of 80 percent validation accuracy, using the augmented Classification Endpoint yields more consistent accuracy on unseen examples. In this way, giving large-scale machine learning models like GPT-3 the ability to propose their own additional training examples can result in improved classification performance.",Computation and Language (cs.CL),"Submission history
From: Salvador Balkus [view email]
[v1] Mon, 23 May 2022 01:10:38 UTC (1,437 KB)"
Towards the Generation of Musical Explanations with GPT-3,Computer Science > Computation and Language,[Submitted on 11 May 2022],"Authors:Stephen James Krol, Maria Teresa Llano, Jon McCormack","Abstract: Open AI's language model, GPT-3, has shown great potential for many NLP tasks, with applications in many different domains. In this work we carry out a first study on GPT-3's capability to communicate musical decisions through textual explanations when prompted with a textual representation of a piece of music. Enabling a dialogue in human-AI music partnerships is an important step towards more engaging and creative human-AI interactions. Our results show that GPT-3 lacks the necessary intelligence to really understand musical decisions. A major barrier to reach a better performance is the lack of data that includes explanations of the creative process carried out by artists for musical pieces. We believe such a resource would aid the understanding and collaboration with AI music systems.",Computation and Language (cs.CL),"Submission history
From: Maria Teresa Llano [view email]
[v1] Wed, 11 May 2022 13:04:54 UTC (480 KB)"
Evaluation of GPT and BERT-based models on identifying protein-protein interactions in biomedical text,Computer Science > Computation and Language,[Submitted on 30 Mar 2023],"Authors:Hasin Rehana, Nur Bengisu Çam, Mert Basmaci, Yongqun He, Arzucan Özgür, Junguk Hur","Abstract: Detecting protein-protein interactions (PPIs) is crucial for understanding genetic mechanisms, disease pathogenesis, and drug design. However, with the fast-paced growth of biomedical literature, there is a growing need for automated and accurate extraction of PPIs to facilitate scientific knowledge discovery. Pre-trained language models, such as generative pre-trained transformer (GPT) and bidirectional encoder representations from transformers (BERT), have shown promising results in natural language processing (NLP) tasks. We evaluated the PPI identification performance of various GPT and BERT models using a manually curated benchmark corpus of 164 PPIs in 77 sentences from learning language in logic (LLL). BERT-based models achieved the best overall performance, with PubMedBERT achieving the highest precision (85.17%) and F1-score (86.47%) and BioM-ALBERT achieving the highest recall (93.83%). Despite not being explicitly trained for biomedical texts, GPT-4 achieved comparable performance to the best BERT models with 83.34% precision, 76.57% recall, and 79.18% F1-score. These findings suggest that GPT models can effectively detect PPIs from text data and have the potential for use in biomedical literature mining tasks.",Computation and Language (cs.CL),"Submission history
From: Junguk Hur [view email]
[v1] Thu, 30 Mar 2023 22:06:10 UTC (624 KB)"
BIM-GPT: a Prompt-Based Virtual Assistant Framework for BIM Information Retrieval,Computer Science > Computation and Language,[Submitted on 18 Apr 2023],"Authors:Junwen Zheng, Martin Fischer","Abstract: Efficient information retrieval (IR) from building information models (BIMs) poses significant challenges due to the necessity for deep BIM knowledge or extensive engineering efforts for automation. We introduce BIM-GPT, a prompt-based virtual assistant (VA) framework integrating BIM and generative pre-trained transformer (GPT) technologies to support NL-based IR. A prompt manager and dynamic template generate prompts for GPT models, enabling interpretation of NL queries, summarization of retrieved information, and answering BIM-related questions. In tests on a BIM IR dataset, our approach achieved 83.5% and 99.5% accuracy rates for classifying NL queries with no data and 2% data incorporated in prompts, respectively. Additionally, we validated the functionality of BIM-GPT through a VA prototype for a hospital building. This research contributes to the development of effective and versatile VAs for BIM IR in the construction industry, significantly enhancing BIM accessibility and reducing engineering efforts and training data requirements for processing NL queries.",Computation and Language (cs.CL),"Submission history
From: Junwen Zheng [view email]
[v1] Tue, 18 Apr 2023 22:46:02 UTC (3,448 KB)"
Towards Zero-Shot and Few-Shot Table Question Answering using GPT-3,Computer Science > Machine Learning,[Submitted on 31 Oct 2022],"Authors:Pragya Srivastava, Tanuja Ganu, Saikat Guha","Abstract: We present very early results on using GPT-3 to perform question answering on tabular data. We find that stock pre-trained GPT-3 is able to zero-shot learn the table structure from a serialized JSON array-of-arrays representation, and able to answer lookup queries and simple comparison questions in natural language without any fine-tuning. We further find that simple prompt engineering to include few-shot static Q&A examples significantly improves accuracy. Lastly, we find that intermixing passage text improves accuracy even further on heterogeneous data. We apply our approach on a novel dataset of simple tables in newspaper infographics with promising results. Overall, we find much cause for optimism in this basic approach.",Machine Learning (cs.LG),"Submission history
From: Pragya Srivastava [view email]
[v1] Mon, 31 Oct 2022 13:08:55 UTC (1,336 KB)"
An Analysis of GPT-3's Performance in Grammatical Error Correction,Computer Science > Computation and Language,[Submitted on 25 Mar 2023],"Authors:Steven Coyne, Keisuke Sakaguchi","Abstract: GPT-3 models are very powerful, achieving high performance on a variety of natural language processing tasks. However, there is a relative lack of detailed published analysis on how well they perform on the task of grammatical error correction (GEC). To address this, we perform experiments testing the capabilities of a GPT-3 model (text-davinci-003) against major GEC benchmarks, comparing the performance of several different prompts, including a comparison of zero-shot and few-shot settings. We analyze intriguing or problematic outputs encountered with different prompt formats. We report the performance of our best prompt on the BEA-2019 and JFLEG datasets using a combination of automatic metrics and human evaluations, revealing interesting differences between the preferences of human raters and the reference-based automatic metrics.",Computation and Language (cs.CL),"Submission history
From: Steven Coyne [view email]
[v1] Sat, 25 Mar 2023 03:08:49 UTC (29 KB)"
GPT-2C: A GPT-2 parser for Cowrie honeypot logs,Computer Science > Cryptography and Security,"[Submitted on 14 Sep 2021 (v1), last revised 15 Sep 2021 (this version, v2)]","Authors:Febrian Setianto, Erion Tsani, Fatima Sadiq, Georgios Domalis, Dimitris Tsakalidis, Panos Kostakos","Abstract: Deception technologies like honeypots produce comprehensive log reports, but often lack interoperability with EDR and SIEM technologies. A key bottleneck is that existing information transformation plugins perform well on static logs (e.g. geolocation), but face limitations when it comes to parsing dynamic log topics (e.g. user-generated content). In this paper, we present a run-time system (GPT-2C) that leverages large pre-trained models (GPT-2) to parse dynamic logs generate by a Cowrie SSH honeypot. Our fine-tuned model achieves 89\% inference accuracy in the new domain and demonstrates acceptable execution latency.",Cryptography and Security (cs.CR),"Submission history
From: Febrian Setianto [view email]
[v1] Tue, 14 Sep 2021 11:33:04 UTC (2,091 KB)
[v2] Wed, 15 Sep 2021 06:33:01 UTC (2,091 KB)"
GPT detectors are biased against non-native English writers,Computer Science > Computation and Language,"[Submitted on 6 Apr 2023 (v1), last revised 18 Apr 2023 (this version, v2)]","Authors:Weixin Liang, Mert Yuksekgonul, Yining Mao, Eric Wu, James Zou","Abstract: The rapid adoption of generative language models has brought about substantial advancements in digital communication, while simultaneously raising concerns regarding the potential misuse of AI-generated content. Although numerous detection methods have been proposed to differentiate between AI and human-generated content, the fairness and robustness of these detectors remain underexplored. In this study, we evaluate the performance of several widely-used GPT detectors using writing samples from native and non-native English writers. Our findings reveal that these detectors consistently misclassify non-native English writing samples as AI-generated, whereas native writing samples are accurately identified. Furthermore, we demonstrate that simple prompting strategies can not only mitigate this bias but also effectively bypass GPT detectors, suggesting that GPT detectors may unintentionally penalize writers with constrained linguistic expressions. Our results call for a broader conversation about the ethical implications of deploying ChatGPT content detectors and caution against their use in evaluative or educational settings, particularly when they may inadvertently penalize or exclude non-native English speakers from the global discourse.",Computation and Language (cs.CL),"Submission history
From: Weixin Liang [view email]
[v1] Thu, 6 Apr 2023 01:51:15 UTC (1,273 KB)
[v2] Tue, 18 Apr 2023 22:59:26 UTC (1,564 KB)"
GPT-PINN: Generative Pre-Trained Physics-Informed Neural Networks toward non-intrusive Meta-learning of parametric PDEs,Mathematics > Numerical Analysis,"[Submitted on 27 Mar 2023 (v1), last revised 11 Apr 2023 (this version, v2)]","Authors:Yanlai Chen, Shawn Koohy","Abstract: Physics-Informed Neural Network (PINN) has proven itself a powerful tool to obtain the numerical solutions of nonlinear partial differential equations (PDEs) leveraging the expressivity of deep neural networks and the computing power of modern heterogeneous hardware. However, its training is still time-consuming, especially in the multi-query and real-time simulation settings, and its parameterization often overly excessive. In this paper, we propose the Generative Pre-Trained PINN (GPT-PINN) to mitigate both challenges in the setting of parametric PDEs. GPT-PINN represents a brand-new meta-learning paradigm for parametric systems. As a network of networks, its outer-/meta-network is hyper-reduced with only one hidden layer having significantly reduced number of neurons. Moreover, its activation function at each hidden neuron is a (full) PINN pre-trained at a judiciously selected system configuration. The meta-network adaptively ``learns'' the parametric dependence of the system and ``grows'' this hidden layer one neuron at a time. In the end, by encompassing a very small number of networks trained at this set of adaptively-selected parameter values, the meta-network is capable of generating surrogate solutions for the parametric system across the entire parameter domain accurately and efficiently.",Numerical Analysis (math.NA),"Submission history
From: Yanlai Chen [view email]
[v1] Mon, 27 Mar 2023 02:22:09 UTC (6,013 KB)
[v2] Tue, 11 Apr 2023 16:19:57 UTC (6,018 KB)"
